         MJD         m       dm      uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset    duJy_new
57396.587948 19.038793      NaN     28.0    20 c    0    0.90 210.91067 54.31166  7750.34  2256.67 3.99 3.60   7.9 -0.427    19.59 21.57 02a57396o0607c  0x80000           0   21.710429
57396.598947 19.510313      NaN    -17.0    19 c    0    1.01 210.91067 54.31166  7463.98  1683.70 4.10 3.60   5.1 -0.444    19.60 21.58 02a57396o0625c  0x80000           0   20.792853
57396.614233 18.786693      NaN     -2.0    37 c    0    0.86 210.91067 54.31166  8277.57  2827.69 3.80 3.60  20.2 -0.418    19.60 21.56 02a57396o0650c  0x80000           0   37.951848
57396.627717 18.729535      NaN    -62.0    39 c    0    1.03 210.91067 54.31166  8540.02  1066.37 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c  0x80000           0   39.904169
57424.598946 19.401649      NaN      9.0    18 c    0    1.02 210.91067 54.31166  8248.87  1582.54 4.32 3.76  10.3 -0.440    19.70 21.79 02a57424o0633c  0x80000           0   19.883228
57424.604067 19.436675      NaN      4.0    19 c    0    0.98 210.91067 54.31166  8512.83  2152.60 4.25 3.83  15.2 -0.423    19.68 21.79 02a57424o0641c  0x80000           0   20.792853
57424.621336 19.569016      NaN     -2.0    18 c    0    0.83 210.91067 54.31166  7357.54  2770.20 4.01 3.71   9.8 -0.415    19.70 21.79 02a57424o0667c  0x80000           0   19.883228
57424.633626 19.569016      NaN     -4.0    18 c    0    0.98 210.91067 54.31166  7280.49  2864.04 3.96 3.67  11.4 -0.418    19.70 21.79 02a57424o0685c   0x0000           0   19.883228
57448.521048 19.212347      NaN     -4.0    25 c    0    0.96 210.91067 54.31166  7915.50  1773.44 4.00 3.65  14.9 -0.450    19.26 20.81 02a57448o0458c  0x80000           0   26.388307
57448.543577 19.014394      NaN     24.0    22 c    0    1.05 210.91067 54.31166  8207.45  2353.74 3.94 3.73  23.0 -0.440    19.21 20.77 02a57448o0497c   0x0000           0   23.565711
57448.565924 19.302877      NaN    -36.0    23 c    0    1.00 210.91067 54.31166  7066.71  2975.93 4.38 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c  0x80000           0   24.501893
57448.596475 19.063754      NaN     20.0    22 c    0    1.01 210.91067 54.31166  3361.44  7822.16 3.87 3.61 -70.4 -0.422    19.20 20.80 02a57448o0592c  0x80000           0   23.565711
57449.515332 19.351140      NaN    -28.0    22 c    0    0.98 210.91067 54.31166  8152.23  1724.07 4.04 3.63  15.4 -0.462    19.45 21.19 02a57449o0610c  0x80000           0   23.565711
57449.538360 18.878500      NaN     48.0    18 c    0    1.05 210.91067 54.31166  8450.59  2301.91 3.82 3.59  30.5 -0.456    19.42 21.11 02a57449o0650c  0x80000           0   19.883228
57449.558557 19.271854      NaN     14.0    19 c    0    1.24 210.91067 54.31166  7310.11  2929.51 3.78 3.62  14.9 -0.427    19.39 21.07 02a57449o0688c  0x80000           0   20.792853
57449.570520 19.454622      NaN     -8.0    20 c    0    1.14 210.91067 54.31166  7291.97  2868.85 3.76 3.57  18.1 -0.439    19.39 21.06 02a57449o0709c   0x0000           0   21.710429
57458.509881 19.026525      NaN     32.0    19 c    0    1.23 210.91067 54.31166  8234.75  1576.61 4.32 3.77  15.4 -0.446    19.65 21.70 02a57458o0606c  0x80000           0   20.792853
57458.513259 19.051202      NaN     33.0    18 c    0    1.32 210.91067 54.31166  8520.59  2145.35 4.20 3.90  23.7 -0.426    19.61 21.68 02a57458o0613c  0x80000           0   19.883228
57458.536888 19.063754      NaN     29.0    19 c    0    0.88 210.91067 54.31166  7393.60  2770.96 4.12 3.83   2.0 -0.402    19.60 21.68 02a57458o0653c  0x80000           0   20.792853
57458.567769 18.978793      NaN     45.0    16 c    0    1.44 210.91067 54.31166  3357.75  7820.07 3.85 3.61 -72.9 -0.421    19.64 21.68 02a57458o0708c   0x0000           0   18.092616
57488.426551 19.491430      NaN      1.0    19 c    0    1.13 210.91067 54.31166  8367.10  1648.91 4.32 3.81  20.1 -0.478    19.60 21.59 02a57488o0373c  0x80000           0   20.792853
57488.444090 19.510313      NaN     -5.0    19 c    0    1.10 210.91067 54.31166  8654.46  2205.34 4.18 3.80  29.5 -0.461    19.60 21.61 02a57488o0405c  0x80000           0   20.792853
57488.465855 18.978793      NaN     24.0    23 c    0    0.76 210.91067 54.31166  7532.53  2852.24 4.05 3.72  15.6 -0.447    19.57 21.56 02a57488o0444c  0x80000           0   24.501893
