         MJD         m       dm       uJy   duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset      duJy_new
57233.262703 18.249822      NaN      18.0     53 o    0     1.82 210.91067 54.31166  2829.21  8517.81 3.57 3.45 -66.1 -0.436    18.44 19.38 02a57233o0013o   0x0000          -5     54.107812
57233.282702 17.972330      NaN      32.0     66 o    0     1.10 210.91067 54.31166  2814.95  8526.45 3.53 3.35 -63.5 -0.453    18.41 19.29 02a57233o0029o   0x0000          -5     66.892865
57365.645360 18.944322      NaN      -8.0     32 o    0     0.88 210.91067 54.31166  7592.30  2250.86 4.37 3.89   4.6 -0.435    18.89 20.47 02a57365o0696o  0x80000          -5     33.803185
57365.663252 18.396507      NaN    -109.0     53 o    0     1.19 210.91067 54.31166  7336.52  1681.11 4.13 3.57   3.5 -0.484    18.19 18.98 02a57365o0723o   0x0000          -5     54.107812
57386.594331 18.878500      NaN     -10.0     34 o    0     0.89 210.91067 54.31166  7590.09  2247.16 3.85 3.33  10.8 -0.515    18.84 20.09 02a57386o0639o  0x80000          -5     35.702315
57386.602983 19.051202      NaN     -27.0     29 o    0     1.40 210.91067 54.31166  7319.64  1672.36 4.12 3.41   6.1 -0.512    18.83 20.09 02a57386o0653o  0x80000          -5     30.978304
57386.614803 18.857417      NaN       0.0     33 o    0     1.16 210.91067 54.31166  8152.42  2816.01 3.84 3.55  21.8 -0.476    18.88 20.21 02a57386o0669o   0x0000          -5     34.751336
57386.624437 18.566153      NaN      32.0     33 o    0     1.15 210.91067 54.31166  8435.18  1053.00 4.33 3.39  13.3 -0.526    18.93 20.24 02a57386o0683o  0x80000          -5     34.751336
57387.583683 19.089302      NaN      -9.0     28 o    0     1.14 210.91067 54.31166  7593.02  2245.09 3.69 3.44   6.8 -0.483    18.92 19.99 02a57387o0634o  0x80000          -5     30.044223
57387.591656 19.089302      NaN     -78.0     28 o    0     0.89 210.91067 54.31166  7322.66  1668.89 3.91 3.43   2.3 -0.498    18.95 20.02 02a57387o0647o   0x0000          -5     30.044223
57387.605357 18.836735      NaN      -4.0     35 o    0     1.13 210.91067 54.31166  8153.57  2811.66 3.58 3.45  28.9 -0.475    18.97 20.08 02a57387o0661o   0x0000          -5     36.655904
