sigma_kern  peak_appmag  peak_flux sigma_sim
         5        23.00       2.29         2
         5        23.00       2.29         5
         5        23.00       2.29        20
         5        23.00       2.29        40
         5        23.00       2.29        80
         5        23.00       2.29       120
         5        22.63       3.22         2
         5        22.63       3.22         5
         5        22.63       3.22        20
         5        22.63       3.22        40
         5        22.63       3.22        80
         5        22.63       3.22       120
         5        22.26       4.52         2
         5        22.26       4.52         5
         5        22.26       4.52        20
         5        22.26       4.52        40
         5        22.26       4.52        80
         5        22.26       4.52       120
         5        21.89       6.34         2
         5        21.89       6.34         5
         5        21.89       6.34        20
         5        21.89       6.34        40
         5        21.89       6.34        80
         5        21.89       6.34       120
         5        21.53       8.90         2
         5        21.53       8.90         5
         5        21.53       8.90        20
         5        21.53       8.90        40
         5        21.53       8.90        80
         5        21.53       8.90       120
         5        21.16      12.50         2
         5        21.16      12.50         5
         5        21.16      12.50        20
         5        21.16      12.50        40
         5        21.16      12.50        80
         5        21.16      12.50       120
         5        20.79      17.55         2
         5        20.79      17.55         5
         5        20.79      17.55        20
         5        20.79      17.55        40
         5        20.79      17.55        80
         5        20.79      17.55       120
         5        20.42      24.64         2
         5        20.42      24.64         5
         5        20.42      24.64        20
         5        20.42      24.64        40
         5        20.42      24.64        80
         5        20.42      24.64       120
         5        20.05      34.59         2
         5        20.05      34.59         5
         5        20.05      34.59        20
         5        20.05      34.59        40
         5        20.05      34.59        80
         5        20.05      34.59       120
         5        19.68      48.56         2
         5        19.68      48.56         5
         5        19.68      48.56        20
         5        19.68      48.56        40
         5        19.68      48.56        80
         5        19.68      48.56       120
         5        19.32      68.18         2
         5        19.32      68.18         5
         5        19.32      68.18        20
         5        19.32      68.18        40
         5        19.32      68.18        80
         5        19.32      68.18       120
         5        18.95      95.73         2
         5        18.95      95.73         5
         5        18.95      95.73        20
         5        18.95      95.73        40
         5        18.95      95.73        80
         5        18.95      95.73       120
         5        18.58     134.41         2
         5        18.58     134.41         5
         5        18.58     134.41        20
         5        18.58     134.41        40
         5        18.58     134.41        80
         5        18.58     134.41       120
         5        18.21     188.71         2
         5        18.21     188.71         5
         5        18.21     188.71        20
         5        18.21     188.71        40
         5        18.21     188.71        80
         5        18.21     188.71       120
         5        17.84     264.95         2
         5        17.84     264.95         5
         5        17.84     264.95        20
         5        17.84     264.95        40
         5        17.84     264.95        80
         5        17.84     264.95       120
         5        17.47     371.99         2
         5        17.47     371.99         5
         5        17.47     371.99        20
         5        17.47     371.99        40
         5        17.47     371.99        80
         5        17.47     371.99       120
         5        17.11     522.27         2
         5        17.11     522.27         5
         5        17.11     522.27        20
         5        17.11     522.27        40
         5        17.11     522.27        80
         5        17.11     522.27       120
         5        16.74     733.27         2
         5        16.74     733.27         5
         5        16.74     733.27        20
         5        16.74     733.27        40
         5        16.74     733.27        80
         5        16.74     733.27       120
         5        16.37    1029.51         2
         5        16.37    1029.51         5
         5        16.37    1029.51        20
         5        16.37    1029.51        40
         5        16.37    1029.51        80
         5        16.37    1029.51       120
         5        16.00    1445.44         2
         5        16.00    1445.44         5
         5        16.00    1445.44        20
         5        16.00    1445.44        40
         5        16.00    1445.44        80
         5        16.00    1445.44       120
        15        23.00       2.29         2
        15        23.00       2.29         5
        15        23.00       2.29        20
        15        23.00       2.29        40
        15        23.00       2.29        80
        15        23.00       2.29       120
        15        22.63       3.22         2
        15        22.63       3.22         5
        15        22.63       3.22        20
        15        22.63       3.22        40
        15        22.63       3.22        80
        15        22.63       3.22       120
        15        22.26       4.52         2
        15        22.26       4.52         5
        15        22.26       4.52        20
        15        22.26       4.52        40
        15        22.26       4.52        80
        15        22.26       4.52       120
        15        21.89       6.34         2
        15        21.89       6.34         5
        15        21.89       6.34        20
        15        21.89       6.34        40
        15        21.89       6.34        80
        15        21.89       6.34       120
        15        21.53       8.90         2
        15        21.53       8.90         5
        15        21.53       8.90        20
        15        21.53       8.90        40
        15        21.53       8.90        80
        15        21.53       8.90       120
        15        21.16      12.50         2
        15        21.16      12.50         5
        15        21.16      12.50        20
        15        21.16      12.50        40
        15        21.16      12.50        80
        15        21.16      12.50       120
        15        20.79      17.55         2
        15        20.79      17.55         5
        15        20.79      17.55        20
        15        20.79      17.55        40
        15        20.79      17.55        80
        15        20.79      17.55       120
        15        20.42      24.64         2
        15        20.42      24.64         5
        15        20.42      24.64        20
        15        20.42      24.64        40
        15        20.42      24.64        80
        15        20.42      24.64       120
        15        20.05      34.59         2
        15        20.05      34.59         5
        15        20.05      34.59        20
        15        20.05      34.59        40
        15        20.05      34.59        80
        15        20.05      34.59       120
        15        19.68      48.56         2
        15        19.68      48.56         5
        15        19.68      48.56        20
        15        19.68      48.56        40
        15        19.68      48.56        80
        15        19.68      48.56       120
        15        19.32      68.18         2
        15        19.32      68.18         5
        15        19.32      68.18        20
        15        19.32      68.18        40
        15        19.32      68.18        80
        15        19.32      68.18       120
        15        18.95      95.73         2
        15        18.95      95.73         5
        15        18.95      95.73        20
        15        18.95      95.73        40
        15        18.95      95.73        80
        15        18.95      95.73       120
        15        18.58     134.41         2
        15        18.58     134.41         5
        15        18.58     134.41        20
