sigma_kern  peak_appmag  peak_flux sigma_sim  pct_detec_5.51  pct_detec_11.62  pct_detec_16.96  pct_detec_24.12  pct_detec_38.60  pct_detec_52.47  pct_detec_72.13  pct_detec_99.48
         5        23.00       2.29         2        1.142857              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        23.00       2.29         5        3.148254              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        23.00       2.29        20        8.787968              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        23.00       2.29        40       15.320254              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        23.00       2.29        80       24.412607              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        23.00       2.29       120       27.366255              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.63       3.22         2        1.271309              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.63       3.22         5        3.549607              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.63       3.22        20       12.918796              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.63       3.22        40       21.179473              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.63       3.22        80       31.806245              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.63       3.22       120       36.730604              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.26       4.52         2        1.903409              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.26       4.52         5        5.992408              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.26       4.52        20       16.638322              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.26       4.52        40       25.857520              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.26       4.52        80       38.821490              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        22.26       4.52       120       43.457143              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        21.89       6.34         2        2.531277              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        21.89       6.34         5        7.918811              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        21.89       6.34        20       24.055274              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        21.89       6.34        40       39.041678              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        21.89       6.34        80       53.722334              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        21.89       6.34       120       57.458405              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        21.53       8.90         2        4.074703              NaN              NaN              NaN              NaN              NaN              NaN              NaN
         5        21.53       8.90         5       12.372039              NaN              NaN              NaN              NaN              NaN              NaN              NaN
