 sigma_kern  peak_appmag  peak_flux  sigma_sim  pct_detec_7.65  pct_detec_14.32  pct_detec_16.31  pct_detec_18.35  pct_detec_18.95  pct_detec_26.65  pct_detec_36.67  pct_detec_47.32
          5        23.00       2.29          2        0.666173              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29          5        0.766871              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29         20        2.057311              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29         40        4.302671              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29         80        7.392996              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29        120        8.962264              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22          2        0.525526              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22          5        0.866142              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22         20        2.801556              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22         40        4.040404              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22         80        7.756654              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22        120        7.921569              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52          2        0.636943              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52          5        1.626016              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52         20        1.823708              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52         40        4.885737              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52         80        6.309904              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52        120        9.706546              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34          2        0.697674              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34          5        1.697531              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34         20        4.868914              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34         40        6.860371              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34         80       15.239592              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34        120       17.528958              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90          2        0.886918              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90          5        2.891566              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90         20        8.288973              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90         40       14.264151              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90         80       22.585551              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90        120       25.410477              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50          2        2.129278              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50          5        6.526807              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50         20       20.265004              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50         40       24.465558              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50         80       31.306991              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50        120       30.958036              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.79      17.55          2        3.530315              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.79      17.55          5       12.053925              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.79      17.55         20       27.662616              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.79      17.55         40       30.147059              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.79      17.55         80       40.467219              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.79      17.55        120       44.358578              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.42      24.64          2        4.904215              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.42      24.64          5       20.482866              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.42      24.64         20       34.677419              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.42      24.64         40       38.871224              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.42      24.64         80       46.463878              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.42      24.64        120       47.916667              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.05      34.59          2       11.119874              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.05      34.59          5       28.112450              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.05      34.59         20       43.764524              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.05      34.59         40       52.403467              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.05      34.59         80       58.519661              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.05      34.59        120       59.634425              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.68      48.56          2       18.107908              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.68      48.56          5       36.784314              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.68      48.56         20       49.049430              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.68      48.56         40       56.552820              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.68      48.56         80       69.710807              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.68      48.56        120       74.225246              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.32      68.18          2       28.856485              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.32      68.18          5       43.526786              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.32      68.18         20       63.636364              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.32      68.18         40       72.342007              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.32      68.18         80       88.527258              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        19.32      68.18        120       90.596893              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73          2       38.884866              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73          5       55.140962              NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        18.95      95.73         20       83.122677              NaN              NaN              NaN              NaN              NaN              NaN              NaN
