 sigma_kern  peak_appmag  peak_flux  sigma_sim  pct_detec_6.06  pct_detec_9.68  pct_detec_12.27  pct_detec_16.27  pct_detec_21.76  pct_detec_28.31  pct_detec_36.81  pct_detec_47.14
          5        23.00       2.29          2        0.600000             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29          5        1.860332             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29         20        5.544087             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29         40        9.723024             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29         80       16.103152             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        23.00       2.29        120       18.694885             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22          2        0.635654             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22          5        2.211231             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22         20        8.148779             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22         40       13.751063             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22         80       22.497811             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.63       3.22        120       25.737189             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52          2        0.909091             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52          5        3.931670             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52         20       12.414966             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52         40       19.437115             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52         80       31.340266             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        22.26       4.52        120       35.857143             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34          2        1.600233             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34          5        5.746141             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34         20       17.653694             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34         40       31.443153             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34         80       44.093130             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.89       6.34        120       48.250143             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90          2        2.773062             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90          5        8.979234             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90         20       30.890973             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90         40       47.639734             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90         80       61.446809             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.53       8.90        120       66.345311             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50          2        4.869125             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50          5       17.048711             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50         20       51.888152             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50         40       70.810656             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50         80       84.659091             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        21.16      12.50        120       89.865829             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.79      17.55          2        9.197039             NaN              NaN              NaN              NaN              NaN              NaN              NaN
          5        20.79      17.55          5       32.438017             NaN              NaN              NaN              NaN              NaN              NaN              NaN
