    sigma_kern  sigma_sim  fom_limit  mag_threshold_50  mag_threshold_80
0            5          2       7.65               NaN               NaN
1            5          5       7.65         16.238430               NaN
2            5         20       7.65         19.089110               NaN
3            5         40       7.65         19.787945         18.650926
4            5         80       7.65         20.541449         19.682456
5            5        120       7.65         20.808024         19.865341
6           15          2      14.32               NaN               NaN
7           15          5      14.32         16.174519               NaN
8           15         20      14.32         18.783756         16.572842
9           15         40      14.32         19.582752         18.669927
10          15         80      14.32         20.398456         19.390565
11          15        120      14.32         20.638391         19.509532
12          25          2      16.31               NaN               NaN
13          25          5      16.31         16.053493               NaN
14          25         20      16.31         18.939947         16.748043
15          25         40      16.31         19.750627         18.906393
16          25         80      16.31         20.524577         19.507893
17          25        120      16.31         20.764454         19.619632
18          40          5      18.35         16.056507               NaN
19          40         20      18.35         18.863210         16.795314
20          40         40      18.35         19.785767         18.979877
21          40         80      18.35         20.546610         19.623223
22          40        110      18.35         20.721961         19.706055
23          40        150      18.35         20.833683         19.768277
24          40        200      18.35         20.938950         19.797969
25          40        250      18.35         20.951706         19.823252
26          80          5      18.95         16.032894               NaN
27          80         20      18.95         18.901642         16.983535
28          80         40      18.95         19.967738         19.100103
29          80         80      18.95         20.697286         19.802558
30          80        110      18.95         20.833952         19.953647
31          80        150      18.95         20.933470         19.971965
32          80        200      18.95         21.084410         20.093762
33          80        250      18.95         21.068442         20.088594
34         130         20      26.65         18.568153         16.654475
35         130         40      26.65         19.652264         18.816785
36         130         80      26.65         20.461624         19.557501
37         130        110      26.65         20.658075         19.657070
38         130        150      26.65         20.690931         19.717122
39         130        200      26.65         20.715058         19.776727
40         130        250      26.65         20.744854         19.761357
41         130        300      26.65         20.797338         19.785251
42         200         20      36.67         18.347433         16.234323
43         200         40      36.67         19.362399         18.496863
44         200         80      36.67         20.144647         19.206126
45         200        110      36.67         20.347499         19.386842
46         200        150      36.67         20.406785         19.400257
47         200        200      36.67         20.433959         19.469155
48         200        250      36.67         20.476958         19.463568
49         200        300      36.67         20.531312         19.493209
50         300         20      47.32         18.060962               NaN
51         300         40      47.32         19.115278         18.189899
52         300         80      47.32         19.876671         18.938150
53         300        110      47.32         20.046628         19.074758
54         300        150      47.32         20.147844         19.180216
55         300        200      47.32         20.201604         19.185678
56         300        250      47.32         20.237815         19.212782
57         300        300      47.32         20.250619         19.273992
