    sigma_kern  sigma_sim  fom_limit  mag_threshold_50  mag_threshold_80
0            5          2       6.06         19.726131         18.502567
1            5          5       6.06         20.467136         19.785387
2            5         20       6.06         21.190412         20.699751
3            5         40       6.06         21.488097         21.011765
4            5         80       6.06         21.750835         21.239820
5            5        120       6.06         21.846925         21.327379
6           15          2       9.68         19.257621         17.943476
7           15          5       9.68         20.214751         19.514761
8           15         20       9.68         21.279454         20.804826
9           15         40       9.68         21.611646         21.107154
10          15         80       9.68         21.832060         21.345766
11          15        120       9.68         21.942700         21.443607
12          25          2      12.27         19.010775         17.807295
13          25          5      12.27         19.989400         19.257210
14          25         20      12.27         21.230204         20.758024
15          25         40      12.27         21.635062         21.173438
16          25         80      12.27         21.886925         21.395946
17          25        120      12.27         21.954956         21.487262
18          40          5      16.27         19.658341         18.901065
19          40         20      16.27         21.052448         20.535492
20          40         40      16.27         21.567387         21.042882
21          40         80      16.27         21.899420         21.347153
22          40        110      16.27         21.960285         21.431003
23          40        150      16.27         21.997790         21.488279
24          40        200      16.27         22.041988         21.503602
25          40        250      16.27         22.043102         21.501172
26          80          5      21.76         19.351865         18.622787
27          80         20      21.76         20.854382         20.253215
28          80         40      21.76         21.441948         20.904348
29          80         80      21.76         21.812516         21.281083
30          80        110      21.76         21.966121         21.379679
31          80        150      21.76         21.964702         21.425450
32          80        200      21.76         21.981599         21.435530
33          80        250      21.76         21.983632         21.457737
34         130         20      28.31         20.534769         19.947634
35         130         40      28.31         21.164132         20.631196
36         130         80      28.31         21.608670         21.055653
37         130        110      28.31         21.720232         21.173724
38         130        150      28.31         21.775792         21.219655
39         130        200      28.31         21.791183         21.245980
40         130        250      28.31         21.804425         21.272338
41         130        300      28.31         21.879222         21.259859
42         200         20      36.81         20.230192         19.687116
43         200         40      36.81         20.889908         20.378817
44         200         80      36.81         21.346853         20.834731
45         200        110      36.81         21.451247         20.918987
46         200        150      36.81         21.494043         20.970230
47         200        200      36.81         21.515703         21.018054
48         200        250      36.81         21.550848         21.006842
49         200        300      36.81         21.543534         21.050057
50         300         20      47.14         19.945883         19.412268
51         300         40      47.14         20.607927         20.107865
52         300         80      47.14         21.047767         20.543421
53         300        110      47.14         21.145480         20.677869
54         300        150      47.14         21.220298         20.707927
55         300        200      47.14         21.276001         20.747500
56         300        250      47.14         21.264726         20.783914
57         300        300      47.14         21.323173         20.803837
