 sigma_kern  peak_appmag  peak_flux peak_mjd sigma_sim    max_fom max_fom_mjd
        130        21.53    8.87156  58120.5      80.0  -1.070103     58040.5
        130        21.53    8.87156  57931.5      20.0  33.640292     57950.5
        130        21.53    8.87156  57619.5     250.0   1.929121     57417.5
        130        21.53    8.87156  57642.5      80.0   -7.80073     57579.5
        130        21.53    8.87156  58012.5      40.0 -20.426597     58052.5
        130        21.53    8.87156  57493.5     110.0  12.815323     57555.5
        130        21.53    8.87156  58109.5      80.0  28.950759     58189.5
        130        21.53    8.87156  58815.5     250.0   39.51996     58919.5
        130        21.53    8.87156  58934.5     110.0  47.489564     58949.5
        130        21.53    8.87156  58666.5      40.0  45.017565     58626.5
        130        21.53    8.87156  59187.5      40.0 -18.541065     59147.5
        130        21.53    8.87156  58297.5      80.0  29.530308     58293.5
        130        21.53    8.87156  59156.5     300.0  30.392973     59231.5
        130        21.53    8.87156  60139.5      80.0  21.845144     60115.5
        130        21.53    8.87156  57836.5     150.0  19.082839     57867.5
        130        21.53    8.87156  59404.5      40.0  -4.168482     59399.5
        130        21.53    8.87156  60097.5      80.0  36.960977     60100.5
        130        21.53    8.87156  57714.5     300.0  18.477047     57809.5
        130        21.53    8.87156  58423.5      80.0  23.191108     58485.5
        130        21.53    8.87156  57461.5     200.0  -2.577047     57261.5
        130        21.53    8.87156  59270.5      40.0  37.292553     59306.5
        130        21.53    8.87156  58073.5     150.0 -12.176994     58160.5
        130        21.53    8.87156  57703.5     150.0  22.543252     57840.5
        130        21.53    8.87156  57541.5      20.0  -1.154502     57521.5
        130        21.53    8.87156  59733.5     250.0  45.894339     59713.5
        130        21.53    8.87156  59272.5     200.0  43.657705     59319.5
        130        21.53    8.87156  57301.5     300.0   -1.41086     57513.5
        130        21.53    8.87156  58180.5     150.0  15.881493     58207.5
        130        21.53    8.87156  59281.5      40.0  20.299841     59293.5
        130        21.53    8.87156  59293.5      80.0  39.511307     59327.5
        130        21.53    8.87156  60157.5      80.0  20.024162     60115.5
        130        21.53    8.87156  57389.5     200.0   8.743526     57405.5
        130        21.53    8.87156  59289.5     150.0  33.591215     59321.5
        130        21.53    8.87156  59270.5     250.0  45.768198     59320.5
        130        21.53    8.87156  57491.5      80.0   8.473325     57465.5
        130        21.53    8.87156  58358.5      80.0  43.625546     58282.5
        130        21.53    8.87156  57869.5     250.0  42.532932     57864.5
        130        21.53    8.87156  57240.5     110.0  -2.513122     57233.5
        130        21.53    8.87156  57566.5     250.0   3.624643     57437.5
        130        21.53    8.87156  58844.5     150.0   5.748121     58885.5
        130        21.53    8.87156  59313.5      20.0  21.757848     59333.5
        130        21.53    8.87156  59715.5     150.0    22.4782     59716.5
        130        21.53    8.87156  57777.5     110.0  31.063042     57801.5
        130        21.53    8.87156  59161.5      80.0    35.0979     59241.5
        130        21.53    8.87156  59736.5     110.0  38.317298     59732.5
        130        21.53    8.87156  58585.5     250.0  76.377992     58587.5
        130        21.53    8.87156  59066.5     200.0  62.294047     59021.5
        130        21.53    8.87156  58634.5     200.0  73.199424     58608.5
        130        21.53    8.87156  58618.5      20.0 -22.529656     58638.5
        130        21.53    8.87156  57348.5      80.0  -0.982632     57268.5
        130        21.53    8.87156  58166.5      20.0  -2.349877     58186.5
        130        21.53    8.87156  58739.5      40.0  -12.35959     58779.5
        130        21.53    8.87156  58359.5     110.0  15.777067     58351.5
        130        21.53    8.87156  59829.5     110.0  22.736631     59752.5
        130        21.53    8.87156  58224.5     250.0   5.367118     58218.5
        130        21.53    8.87156  60182.5     200.0  10.895007     60164.5
        130        21.53    8.87156  57987.5     250.0  30.862436     57923.5
        130        21.53    8.87156  58595.5      40.0  53.675903     58587.5
        130        21.53    8.87156  59535.5     200.0   5.901085     59488.5
        130        21.53    8.87156  57792.5     150.0  20.930304     57796.5
        130        21.53    8.87156  59977.5     300.0  18.152265     59944.5
        130        21.53    8.87156  57863.5      20.0  24.192264     57843.5
        130        21.53    8.87156  58093.5     300.0  42.314954     57938.5
        130        21.53    8.87156  59688.5     300.0  51.938236     59694.5
        130        21.53    8.87156  57903.5     150.0  46.297334     57894.5
        130        21.53    8.87156  59802.5      40.0  -0.283973     59842.5
        130        21.53    8.87156  57330.5      40.0    3.75926     57364.5
        130        21.53    8.87156  59770.5      80.0  32.066924     59769.5
        130        21.53    8.87156  59614.5     150.0  18.731598     59581.5
        130        21.53    8.87156  60049.5     300.0  16.033831     60083.5
        130        21.53    8.87156  59689.5      80.0  20.113244     59666.5
        130        21.53    8.87156  57440.5     150.0   -1.24678     57290.5
        130        21.53    8.87156  57489.5     300.0  15.383526     57772.5
        130        21.53    8.87156  59728.5     150.0   20.19586     59737.5
        130        21.53    8.87156  58710.5     300.0  50.602163     58635.5
        130        21.53    8.87156  58815.5      80.0  10.272454     58791.5
        130        21.53    8.87156  60191.5     110.0   8.603335     60189.5
        130        21.53    8.87156  59491.5      20.0 -34.546285     59471.5
        130        21.53    8.87156  60288.5      40.0   4.346854     60248.5
        130        21.53    8.87156  57464.5     150.0  11.503324     57442.5
        130        21.53    8.87156  58389.5      40.0   5.358416     58355.5
        130        21.53    8.87156  59557.5     150.0  -2.291732     59593.5
        130        21.53    8.87156  59878.5     250.0  15.590762     59838.5
        130        21.53    8.87156  57527.5      40.0   1.005399     57518.5
        130        21.53    8.87156  59860.5     150.0  -5.950725     59989.5
        130        21.53    8.87156  59967.5      80.0   8.959704     60044.5
        130        21.53    8.87156  58225.5     200.0  24.904514     58209.5
        130        21.53    8.87156  59361.5      20.0   3.788472     59381.5
        130        21.53    8.87156  59855.5     150.0  37.111986     59710.5
        130        21.53    8.87156  57620.5      20.0   9.327069     57611.5
        130        21.53    8.87156  59043.5     300.0  23.134333     58992.5
        130        21.53    8.87156  58242.5     150.0  63.376675     58283.5
        130        21.53    8.87156  59837.5     110.0   2.610658     59896.5
        130        21.53    8.87156  57273.5     250.0   3.294686     57355.5
        130        21.53    8.87156  59421.5      80.0  63.848007     59376.5
        130        21.53    8.87156  57753.5     200.0  32.797864     57837.5
        130        21.53    8.87156  58071.5     150.0   3.021689     58082.5
        130        21.53    8.87156  57400.5      20.0    6.07785     57389.5
        130        21.53    8.87156  59261.5     150.0  61.305683     59302.5
        130        21.53    8.87156  59033.5     110.0  40.921206     59009.5
        130        21.53    8.87156  59691.5     110.0  49.775786     59676.5
        130        21.53    8.87156  58328.5     300.0  52.474616     58343.5
        130        21.53    8.87156  59130.5      80.0 -11.653148     59063.5
        130        21.53    8.87156  59655.5      80.0  20.681895     59620.5
        130        21.53    8.87156  59831.5      20.0 -17.054886     59851.5
