tnsname control_id           ra         dec   ra_offset  dec_offset radius_arcsec n_detec n_detec_o n_detec_c
2023ixf          0 210.91067125 54.31165528           0           0             0    2545      1938       607
    NaN          1 210.92562821 54.31526951  0.01495696  0.00361423          34.0     NaN       NaN       NaN
    NaN          2 210.92211881 54.31833351  0.01144756  0.00667823          34.0     NaN       NaN       NaN
    NaN          3 210.91686662 54.32038081  0.00619537  0.00872553          34.0     NaN       NaN       NaN
    NaN          4 210.91067125 54.32109972  0.00000000  0.00944444          34.0     NaN       NaN       NaN
    NaN          5 210.90447588 54.32038081 -0.00619537  0.00872553          34.0     NaN       NaN       NaN
    NaN          6 210.89922369 54.31833351 -0.01144756  0.00667823          34.0     NaN       NaN       NaN
    NaN          7 210.89571429 54.31526951 -0.01495696  0.00361423          34.0     NaN       NaN       NaN
    NaN          8 210.89448196 54.31165528 -0.01618929  0.00000000          34.0     NaN       NaN       NaN
    NaN          9 210.89571429 54.30804105 -0.01495696 -0.00361423          34.0     NaN       NaN       NaN
    NaN         10 210.89922369 54.30497705 -0.01144756 -0.00667823          34.0     NaN       NaN       NaN
    NaN         11 210.90447588 54.30292975 -0.00619537 -0.00872553          34.0     NaN       NaN       NaN
    NaN         12 210.91067125 54.30221083 -0.00000000 -0.00944444          34.0     NaN       NaN       NaN
    NaN         13 210.91686662 54.30292975  0.00619537 -0.00872553          34.0     NaN       NaN       NaN
    NaN         14 210.92211881 54.30497705  0.01144756 -0.00667823          34.0     NaN       NaN       NaN
    NaN         15 210.92562821 54.30804105  0.01495696 -0.00361423          34.0     NaN       NaN       NaN
    NaN         16 210.92686054 54.31165528  0.01618929 -0.00000000          34.0     NaN       NaN       NaN
