         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.696897      NaN  -149    16 c    0   2.17 210.92212 54.31833  7762.98  2243.28 4.00 3.60   7.9 -0.427    19.59 21.57 02a57396o0607c  0x80000  18.092616
57396.598947 19.510313      NaN  -175    19 c    0   1.71 210.92212 54.31833  7476.67  1670.33 4.10 3.60   5.2 -0.444    19.60 21.58 02a57396o0625c  0x80000  20.792853
57396.614233 18.878500      NaN  -203    34 c    0   1.41 210.92212 54.31833  8290.14  2814.24 3.80 3.60  20.2 -0.419    19.60 21.56 02a57396o0650c  0x80000  35.033452
57396.627717 18.649074      NaN  -316    42 c    0   1.23 210.92212 54.31833  8552.64  1052.74 4.33 3.66  11.2 -0.431    19.59 21.57 02a57396o0672c  0x80000  42.840900
57424.598946 19.569016      NaN   -93    18 c    0   1.68 210.92212 54.31833  8261.50  1569.01 4.32 3.76  10.3 -0.440    19.70 21.79 02a57424o0633c  0x80000  19.883228
57424.604067 19.696897      NaN   -57    16 c    0   2.32 210.92212 54.31833  8525.41  2139.07 4.25 3.83  15.2 -0.423    19.68 21.79 02a57424o0641c  0x80000  18.092616
57424.621336 19.569016      NaN  -133    18 c    0   1.80 210.92212 54.31833  7370.23  2756.92 4.02 3.71   9.9 -0.416    19.70 21.79 02a57424o0667c  0x80000  19.883228
57424.633626 19.766969      NaN   -45    15 c    0   1.69 210.92212 54.31833  7293.18  2850.79 3.97 3.67  11.4 -0.418    19.70 21.79 02a57424o0685c   0x0000  17.214608
57448.521048 19.302877      NaN   -63    23 c    0   1.34 210.92212 54.31833  7928.15  1759.99 4.00 3.65  15.0 -0.450    19.26 20.81 02a57448o0458c  0x80000  24.501893
57448.543577 18.967180      NaN    28    22 c    0   1.83 210.92212 54.31833  8220.05  2340.28 3.94 3.73  23.0 -0.440    19.21 20.77 02a57448o0497c   0x0000  23.565711
57448.565924 19.401649      NaN   -80    21 c    0   1.62 210.92212 54.31833  7079.43  2962.71 4.38 3.91  -1.1 -0.389    19.09 20.75 02a57448o0536c  0x80000  22.634989
57448.596475 19.302877      NaN   -72    23 c    0   1.68 210.92212 54.31833  3348.76  7835.44 3.87 3.61 -70.3 -0.422    19.20 20.80 02a57448o0592c  0x80000  24.501893
