         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.401649      NaN    -8    21 c    0   0.81 210.91067 54.3211  7749.86  2238.31 4.00 3.60   7.8 -0.428    19.59 21.57 02a57396o0607c  0x80000  22.634989
57396.598947 19.454622      NaN   -11    20 c    0   0.99 210.91067 54.3211  7463.58  1665.30 4.10 3.60   5.1 -0.444    19.60 21.58 02a57396o0625c  0x80000  21.710429
57396.614233 18.481707      NaN    24    41 c    0   0.65 210.91067 54.3211  8276.97  2809.36 3.80 3.60  19.9 -0.419    19.60 21.56 02a57396o0650c  0x80000  41.860993
57396.627717 18.649074      NaN    -9    42 c    0   1.05 210.91067 54.3211  8539.42  1047.89 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c  0x80000  42.840900
57424.598946 19.510313      NaN    -1    19 c    0   0.99 210.91067 54.3211  8248.33  1564.11 4.33 3.76  10.2 -0.440    19.70 21.79 02a57424o0633c  0x80000  20.792853
57424.604067 19.510313      NaN   -13    19 c    0   1.01 210.91067 54.3211  8512.21  2134.22 4.25 3.83  15.1 -0.423    19.68 21.79 02a57424o0641c  0x80000  20.792853
57424.621336 19.197966      NaN    22    18 c    0   1.03 210.91067 54.3211  7357.16  2751.87 4.02 3.71   9.7 -0.416    19.70 21.79 02a57424o0667c  0x80000  19.883228
57424.633626 19.334813      NaN    16    17 c    0   0.96 210.91067 54.3211  7280.12  2845.72 3.97 3.67  11.2 -0.418    19.70 21.79 02a57424o0685c   0x0000  18.982696
57448.521048 18.967180      NaN    22    24 c    0   0.97 210.91067 54.3211  7915.01  1755.04 4.00 3.65  14.8 -0.450    19.26 20.81 02a57448o0458c  0x80000  25.442931
57448.543577 19.351140      NaN   -12    22 c    0   1.04 210.91067 54.3211  8206.89  2335.38 3.94 3.73  22.7 -0.441    19.21 20.77 02a57448o0497c   0x0000  23.565711
57448.565924 18.574166      NaN    63    24 c    0   1.06 210.91067 54.3211  7066.38  2957.62 4.38 3.91  -1.2 -0.389    19.09 20.75 02a57448o0536c  0x80000  25.442931
57448.596475 19.256669      NaN     6    22 c    0   0.97 210.91067 54.3211  3361.83  7840.50 3.87 3.61 -70.4 -0.422    19.20 20.80 02a57448o0592c  0x80000  23.565711
57449.515332 19.351140      NaN   -14    22 c    0   0.95 210.91067 54.3211  8151.69  1705.66 4.05 3.63  15.3 -0.462    19.45 21.19 02a57449o0610c  0x80000  23.565711
57449.538360 19.051202      NaN    24    21 c    0   0.87 210.91067 54.3211  8449.98  2283.54 3.82 3.59  30.0 -0.457    19.42 21.11 02a57449o0650c  0x80000  22.634989
57449.558557 18.990530      NaN    38    18 c    0   1.10 210.91067 54.3211  7309.72  2911.19 3.78 3.62  14.6 -0.428    19.39 21.07 02a57449o0688c  0x80000  19.883228
57449.570520 19.454622      NaN    -6    20 c    0   0.99 210.91067 54.3211  7291.60  2850.53 3.76 3.57  17.7 -0.440    19.39 21.06 02a57449o0709c   0x0000  21.710429
57458.509881 19.302877      NaN    12    19 c    0   1.07 210.91067 54.3211  8234.20  1558.19 4.32 3.77  15.3 -0.446    19.65 21.70 02a57458o0606c  0x80000  20.792853
57458.513259 19.454622      NaN    -3    20 c    0   0.94 210.91067 54.3211  8519.97  2126.97 4.21 3.90  23.5 -0.426    19.61 21.68 02a57458o0613c  0x80000  21.710429
57458.536888 19.510313      NaN   -22    19 c    0   0.76 210.91067 54.3211  7393.20  2752.64 4.12 3.83   2.0 -0.403    19.60 21.68 02a57458o0653c  0x80000  20.792853
57458.567769 19.454622      NaN     6    18 c    0   0.89 210.91067 54.3211  3358.13  7838.40 3.85 3.61 -73.0 -0.421    19.64 21.68 02a57458o0708c   0x0000  19.883228
57488.426551 19.063754      NaN    26    20 c    0   1.00 210.91067 54.3211  8366.52  1630.49 4.33 3.81  19.9 -0.478    19.60 21.59 02a57488o0373c  0x80000  21.710429
57488.444090 19.401649      NaN     3    20 c    0   1.13 210.91067 54.3211  8653.81  2186.96 4.18 3.80  29.2 -0.461    19.60 21.61 02a57488o0405c  0x80000  21.710429
57488.465855 19.401649      NaN    -9    21 c    0   0.90 210.91067 54.3211  7532.10  2833.92 4.06 3.72  15.4 -0.447    19.57 21.56 02a57488o0444c  0x80000  22.634989
57488.475297 19.318728      NaN    11    19 c    0   0.94 210.91067 54.3211  3344.17  7830.07 3.99 3.61 -65.0 -0.439    19.55 21.54 02a57488o0460c  0x80000  20.792853
57512.362600 19.510313      NaN     0    19 c    0   1.27 210.91067 54.3211  9553.87  2697.28 4.67 4.15  38.1 -0.436    19.51 21.58 02a57512o0305c   0x0000  20.792853
57512.371077 18.921935      NaN    32    22 c    0   0.93 210.91067 54.3211  9576.76  2733.58 4.57 4.08  39.4 -0.441    19.53 21.60 02a57512o0322c   0x0000  23.565711
