         MJD         m       dm    uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 18.226218      NaN    -55    62 o    0   0.98 210.91067 54.3211  2829.68  8536.20 3.57 3.45 -65.8 -0.436    18.44 19.38 02a57233o0013o   0x0000    62.949625
57233.282702 18.000411      NaN     61    56 o    0   1.72 210.91067 54.3211  2815.42  8544.84 3.53 3.35 -63.3 -0.453    18.41 19.29 02a57233o0029o   0x0000    57.049587
57365.645360 18.967180      NaN      4    30 o    0   1.09 210.91067 54.3211  7591.84  2232.50 4.38 3.89   4.6 -0.436    18.89 20.47 02a57365o0696o  0x80000    31.916380
57365.663252 18.273950      NaN     19    53 o    0   1.19 210.91067 54.3211  7336.13  1662.71 4.14 3.57   3.5 -0.484    18.19 18.98 02a57365o0723o   0x0000    54.107812
57386.594331 18.878500      NaN     -2    34 o    0   0.78 210.91067 54.3211  7589.64  2228.80 3.86 3.33  10.8 -0.516    18.84 20.09 02a57386o0639o  0x80000    35.702315
57386.602983 18.534680      NaN     44    32 o    0   1.21 210.91067 54.3211  7319.25  1653.96 4.12 3.41   6.1 -0.513    18.83 20.09 02a57386o0653o  0x80000    33.803185
57386.614803 18.738855      NaN     17    33 o    0   0.97 210.91067 54.3211  8151.84  2797.68 3.84 3.55  21.5 -0.476    18.88 20.21 02a57386o0669o   0x0000    34.751336
57386.624437 18.816441      NaN    -73    36 o    0   1.16 210.91067 54.3211  8434.60  1034.53 4.34 3.39  13.3 -0.526    18.93 20.24 02a57386o0683o  0x80000    37.611904
57387.583683 18.757738      NaN     33    27 o    0   1.05 210.91067 54.3211  7592.56  2226.73 3.70 3.44   6.7 -0.483    18.92 19.99 02a57387o0634o  0x80000    29.114521
57387.591656 18.816441      NaN     18    30 o    0   0.85 210.91067 54.3211  7322.27  1650.49 3.91 3.43   2.2 -0.498    18.95 20.02 02a57387o0647o   0x0000    31.916380
57387.605357 18.847027      NaN     -3    35 o    0   1.07 210.91067 54.3211  8152.99  2793.33 3.59 3.45  28.0 -0.476    18.97 20.08 02a57387o0661o   0x0000    36.655904
