         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.002397      NaN   34    19 c    0   1.09 210.90448 54.32038  7742.88  2239.94 4.00 3.60   7.7 -0.428    19.59 21.57 02a57396o0607c  0x80000  20.792853
57396.598947 19.510313      NaN  -10    19 c    0   0.95 210.90448 54.32038  7456.59  1666.90 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c  0x80000  20.792853
57396.614233 18.197417      NaN   80    37 c    0   0.79 210.90448 54.32038  8270.00  2811.02 3.80 3.60  19.8 -0.419    19.60 21.56 02a57396o0650c  0x80000  37.951848
57396.627717 18.623526      NaN  -73    43 c    0   1.04 210.90448 54.32038  8532.41  1049.61 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c  0x80000  43.821715
57424.598946 19.384550      NaN    1    21 c    0   0.82 210.90448 54.32038  8241.33  1565.79 4.33 3.76  10.2 -0.440    19.70 21.79 02a57424o0633c  0x80000  22.634989
57424.604067 19.334813      NaN   13    18 c    0   1.02 210.90448 54.32038  8505.22  2135.92 4.25 3.83  15.0 -0.423    19.68 21.79 02a57424o0641c  0x80000  19.883228
57424.621336 19.334813      NaN   16    17 c    0   0.95 210.90448 54.32038  7350.18  2753.45 4.02 3.71   9.7 -0.416    19.70 21.79 02a57424o0667c  0x80000  18.982696
57424.633626 19.631075      NaN   -4    17 c    0   0.86 210.90448 54.32038  7273.15  2847.29 3.97 3.67  11.2 -0.418    19.70 21.79 02a57424o0685c   0x0000  18.982696
57448.521048 19.401649      NaN  -19    21 c    0   1.36 210.90448 54.32038  7908.02  1756.69 4.00 3.65  14.7 -0.450    19.26 20.81 02a57448o0458c  0x80000  22.634989
57448.543577 19.226921      NaN   11    21 c    0   1.08 210.90448 54.32038  8199.91  2337.04 3.94 3.73  22.6 -0.440    19.21 20.77 02a57448o0497c   0x0000  22.634989
57448.565924 19.212347      NaN   -9    25 c    0   0.83 210.90448 54.32038  7059.41  2959.16 4.38 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c  0x80000  26.388307
57448.596475 18.836735      NaN   34    24 c    0   0.82 210.90448 54.32038  3368.80  7838.92 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c  0x80000  25.442931
57449.515332 19.302877      NaN    3    22 c    0   0.86 210.90448 54.32038  8144.70  1707.33 4.05 3.63  15.2 -0.462    19.45 21.19 02a57449o0610c  0x80000  23.565711
57449.538360 19.076453      NaN   28    19 c    0   1.02 210.90448 54.32038  8442.99  2285.23 3.82 3.59  29.9 -0.457    19.42 21.11 02a57449o0650c  0x80000  20.792853
57449.558557 19.569016      NaN   -1    18 c    0   1.02 210.90448 54.32038  7302.75  2912.76 3.78 3.62  14.4 -0.428    19.39 21.07 02a57449o0688c  0x80000  19.883228
57449.570520 19.212347      NaN   18    19 c    0   1.13 210.90448 54.32038  7284.62  2852.10 3.76 3.57  17.6 -0.439    19.39 21.06 02a57449o0709c   0x0000  20.792853
57458.509881 19.454622      NaN   -4    20 c    0   0.89 210.90448 54.32038  8227.21  1559.87 4.32 3.77  15.2 -0.446    19.65 21.70 02a57458o0606c  0x80000  21.710429
57458.513259 19.401649      NaN  -10    21 c    0   0.88 210.90448 54.32038  8512.98  2128.67 4.21 3.90  23.4 -0.426    19.61 21.68 02a57458o0613c  0x80000  22.634989
57458.536888 19.569016      NaN  -14    18 c    0   0.85 210.90448 54.32038  7386.23  2754.22 4.12 3.83   1.9 -0.403    19.60 21.68 02a57458o0653c  0x80000  19.883228
57458.567769 19.401649      NaN   12    17 c    0   1.19 210.90448 54.32038  3365.11  7836.82 3.85 3.61 -73.0 -0.421    19.64 21.68 02a57458o0708c   0x0000  18.982696
57488.426551 19.454622      NaN  -12    20 c    0   0.97 210.90448 54.32038  8359.52  1632.18 4.32 3.81  19.8 -0.478    19.60 21.59 02a57488o0373c  0x80000  21.710429
57488.444090 19.026525      NaN   23    22 c    0   0.93 210.90448 54.32038  8646.82  2188.67 4.18 3.80  29.2 -0.461    19.60 21.61 02a57488o0405c  0x80000  23.565711
57488.465855 19.454622      NaN  -13    20 c    0   0.91 210.90448 54.32038  7525.12  2835.51 4.06 3.72  15.3 -0.447    19.57 21.56 02a57488o0444c  0x80000  21.710429
57488.475297 19.367717      NaN    8    19 c    0   1.01 210.90448 54.32038  3351.14  7828.49 3.99 3.61 -65.0 -0.439    19.55 21.54 02a57488o0460c  0x80000  20.792853
57512.362600 19.271854      NaN   11    20 c    0   1.10 210.90448 54.32038  9546.87  2699.08 4.67 4.15  38.0 -0.436    19.51 21.58 02a57512o0305c   0x0000  21.710429
57512.371077 19.256669      NaN   12    20 c    0   1.07 210.90448 54.32038  9569.76  2735.38 4.57 4.08  39.3 -0.441    19.53 21.60 02a57512o0322c   0x0000  21.710429
57512.373986 19.401649      NaN    3    20 c    0   0.85 210.90448 54.32038   363.88  2621.70 5.07 3.82 -34.2 -0.413    19.58 21.60 02a57512o0328c  0x80000  21.710429
57512.383392 19.510313      NaN  -27    19 c    0   0.99 210.90448 54.32038   383.72  2658.87 5.11 3.92 -33.9 -0.413    19.54 21.60 02a57512o0347c   0x0000  20.792853
57512.386899 19.510313      NaN   -4    19 c    0   0.94 210.90448 54.32038   993.81  7909.32 4.45 3.82 -58.4 -0.429    19.55 21.63 02a57512o0354c   0x0000  20.792853
57512.388945 19.454622      NaN  -11    20 c    0   1.07 210.90448 54.32038   317.87  2582.40 5.16 3.88 -31.5 -0.404    19.57 21.61 02a57512o0358c  0x80000  21.710429
57512.397027 19.226921      NaN   14    20 c    0   0.95 210.90448 54.32038  1024.28  7790.09 4.38 3.76 -57.8 -0.429    19.55 21.60 02a57512o0374c  0x80000  21.710429
57512.407432 19.076453      NaN   34    17 c    0   1.07 210.90448 54.32038 10214.24  7856.73 4.60 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c   0x0000  18.982696
57512.416849 19.454622      NaN   -4    20 c    0   0.81 210.90448 54.32038  3625.34  8663.18 4.14 3.80 -61.9 -0.410    19.52 21.58 02a57512o0414c  0x80000  21.710429
