         MJD         m  dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.510313 NaN  -19.0  19.0   c  0.0   0.85 210.89922 54.31833  7737.02  2244.12 4.00 3.60   7.7 -0.428    19.59 21.57 02a57396o0607c  0x80000  20.792853
57396.598947 19.318728 NaN   17.0  17.0   c  0.0   1.25 210.89922 54.31833  7450.72  1671.07 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c  0x80000  18.982696
57396.614233 18.878500 NaN  -61.0  34.0   c  0.0   1.15 210.89922 54.31833  8264.16  2815.23 3.80 3.60  19.8 -0.419    19.60 21.56 02a57396o0650c  0x80000  35.033452
57396.627717 18.550302 NaN  -20.0  46.0   c  0.0   0.82 210.89922 54.31833  8526.55  1053.88 4.33 3.66  11.0 -0.431    19.59 21.57 02a57396o0672c  0x80000  46.769036
57424.598946 19.318728 NaN   14.0  18.0   c  0.0   1.22 210.89922 54.31833  8235.47  1570.02 4.32 3.76  10.1 -0.440    19.70 21.79 02a57424o0633c  0x80000  19.883228
57424.604067 19.197966 NaN   22.0  18.0   c  0.0   1.14 210.89922 54.31833  8499.38  2140.16 4.25 3.83  15.0 -0.423    19.68 21.79 02a57424o0641c  0x80000  19.883228
57424.621336 19.696897 NaN  -28.0  16.0   c  0.0   1.02 210.89922 54.31833  7344.31  2757.58 4.02 3.71   9.6 -0.415    19.70 21.79 02a57424o0667c  0x80000  18.092616
57424.633626 19.589310 NaN    2.0  17.0   c  0.0   0.99 210.89922 54.31833  7267.27  2851.41 3.97 3.67  11.2 -0.418    19.70 21.79 02a57424o0685c   0x0000  18.982696
57448.521048 19.197966 NaN   10.0  22.0   c  0.0   1.42 210.89922 54.31833  7902.15  1760.89 4.00 3.65  14.7 -0.450    19.26 20.81 02a57448o0458c  0x80000  23.565711
57448.543577 19.002397 NaN   25.0  22.0   c  0.0   1.06 210.89922 54.31833  8194.06  2341.25 3.94 3.73  22.5 -0.440    19.21 20.77 02a57448o0497c   0x0000  23.565711
57448.565924 19.197966 NaN   10.0  22.0   c  0.0   0.98 210.89922 54.31833  7053.53  2963.27 4.38 3.91  -1.2 -0.388    19.09 20.75 02a57448o0536c  0x80000  23.565711
57448.596475 19.401649 NaN  -29.0  21.0   c  0.0   1.25 210.89922 54.31833  3374.67  7834.79 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c  0x80000  22.634989
57449.515332 19.351140 NaN  -18.0  22.0   c  0.0   0.87 210.89922 54.31833  8138.84  1711.56 4.05 3.63  15.2 -0.462    19.45 21.19 02a57449o0610c  0x80000  23.565711
57449.538360 19.063754 NaN   23.0  21.0   c  0.0   0.91 210.89922 54.31833  8437.15  2289.46 3.82 3.59  29.9 -0.456    19.42 21.11 02a57449o0650c  0x80000  22.634989
57449.558557 19.569016 NaN  -18.0  18.0   c  0.0   0.89 210.89922 54.31833  7296.88  2916.89 3.78 3.62  14.3 -0.427    19.39 21.07 02a57449o0688c  0x80000  19.883228
57449.570520 19.510313 NaN   -6.0  19.0   c  0.0   1.14 210.89922 54.31833  7278.75  2856.22 3.76 3.57  17.5 -0.439    19.39 21.06 02a57449o0709c   0x0000  20.792853
57458.509881 19.454622 NaN  -17.0  20.0   c  0.0   0.89 210.89922 54.31833  8221.35  1564.10 4.32 3.77  15.2 -0.446    19.65 21.70 02a57458o0606c  0x80000  21.710429
57458.513259 18.748255 NaN   52.0  21.0   c  0.0   0.86 210.89922 54.31833  8507.13  2132.91 4.21 3.90  23.3 -0.426    19.61 21.68 02a57458o0613c  0x80000  22.634989
57458.536888 19.631075 NaN  -34.0  17.0   c  0.0   1.02 210.89922 54.31833  7380.36  2758.35 4.12 3.83   1.9 -0.403    19.60 21.68 02a57458o0653c  0x80000  18.982696
57458.567769 19.569016 NaN  -13.0  18.0   c  0.0   1.05 210.89922 54.31833  3370.98  7832.69 3.85 3.61 -73.1 -0.421    19.64 21.68 02a57458o0708c   0x0000  19.883228
57488.426551 19.318728 NaN    5.0  21.0   c  0.0   0.85 210.89922 54.31833  8353.67  1636.43 4.32 3.81  19.8 -0.478    19.60 21.59 02a57488o0373c  0x80000  22.634989
57488.444090 19.002397 NaN   28.0  21.0   c  0.0   0.84 210.89922 54.31833  8640.98  2192.92 4.18 3.80  29.1 -0.461    19.60 21.61 02a57488o0405c  0x80000  22.634989
57488.465855 19.436675 NaN    4.0  19.0   c  0.0   1.05 210.89922 54.31833  7519.26  2839.65 4.06 3.72  15.3 -0.447    19.57 21.56 02a57488o0444c  0x80000  20.792853
57488.475297 19.631075 NaN  -40.0  17.0   c  0.0   1.18 210.89922 54.31833  3357.01  7824.36 3.99 3.61 -65.1 -0.439    19.55 21.54 02a57488o0460c  0x80000  18.982696
57512.362600 19.510313 NaN  -29.0  19.0   c  0.0   1.25 210.89922 54.31833  9541.05  2703.40 4.66 4.15  38.0 -0.435    19.51 21.58 02a57512o0305c   0x0000  20.792853
57512.371077 19.197966 NaN   10.0  22.0   c  0.0   0.97 210.89922 54.31833  9563.95  2739.70 4.57 4.08  39.3 -0.440    19.53 21.60 02a57512o0322c   0x0000  23.565711
57512.373986 19.454622 NaN  -29.0  20.0   c  0.0   0.92 210.89922 54.31833   357.62  2625.29 5.07 3.82 -34.2 -0.412    19.58 21.60 02a57512o0328c  0x80000  21.710429
57512.383392 19.318728 NaN   11.0  19.0   c  0.0   1.00 210.89922 54.31833   377.47  2662.46 5.11 3.92 -34.0 -0.413    19.54 21.60 02a57512o0347c   0x0000  20.792853
57512.386899 19.510313 NaN   -8.0  19.0   c  0.0   1.03 210.89922 54.31833   999.62  7904.99 4.45 3.82 -58.4 -0.429    19.55 21.63 02a57512o0354c   0x0000  20.792853
57512.388945 19.454622 NaN  -27.0  20.0   c  0.0   1.05 210.89922 54.31833   311.61  2585.98 5.17 3.88 -31.5 -0.404    19.57 21.61 02a57512o0358c  0x80000  21.710429
57512.397027 19.510313 NaN  -14.0  19.0   c  0.0   1.01 210.89922 54.31833  1030.09  7785.76 4.38 3.76 -57.8 -0.429    19.55 21.60 02a57512o0374c  0x80000  20.792853
57512.407432 19.569016 NaN  -18.0  18.0   c  0.0   0.92 210.89922 54.31833 10220.50  7853.14 4.61 3.71  81.1 -0.426    19.54 21.62 02a57512o0395c   0x0000  19.883228
57512.416849 19.454622 NaN  -28.0  20.0   c  0.0   0.84 210.89922 54.31833  3631.23  8659.06 4.14 3.80 -61.9 -0.410    19.52 21.58 02a57512o0414c  0x80000  21.710429
57515.371866 19.256669 NaN    0.0  24.0   c  0.0   0.78 210.89922 54.31833  1973.86   511.22 5.35 3.74 -16.1 -0.483    19.58 21.68 02a57515o0321c  0x80000  25.442931
57515.372987 19.102305 NaN    2.0  27.0   c  0.0   0.95 210.89922 54.31833  7371.25   255.71 5.30 3.91  10.2 -0.491    19.61 21.70 02a57515o0323c  0x80000  28.290329
57515.374441 18.990530 NaN   32.0  20.0   c  0.0   1.05 210.89922 54.31833  8541.07 10089.06 4.30 3.86  75.5 -0.415    19.60 21.66 02a57515o0326c  0x80000  21.710429
57515.383262 19.510313 NaN   -4.0  19.0   c  0.0   0.94 210.89922 54.31833  3119.72 10272.05 4.24 3.95 -48.3 -0.399    19.61 21.73 02a57515o0344c  0x80000  20.792853
57515.385734 19.510313 NaN   -2.0  19.0   c  0.0   1.03 210.89922 54.31833  8469.51 10009.53 4.16 3.76  74.6 -0.422    19.61 21.65 02a57515o0348c  0x80000  20.792853
57515.386824 19.212347 NaN   18.0  19.0   c  0.0   0.95 210.89922 54.31833  3171.79 10356.54 4.28 3.97 -54.2 -0.401    19.61 21.70 02a57515o0350c  0x80000  20.792853
57515.400161 19.510313 NaN  -14.0  19.0   c  0.0   1.02 210.89922 54.31833  3206.28 10236.32 4.17 3.92 -48.3 -0.390    19.61 21.69 02a57515o0376c  0x80000  20.792853
57515.402098 19.302877 NaN  -15.0  23.0   c  0.0   0.96 210.89922 54.31833  2055.54   437.03 5.16 3.65 -15.9 -0.485    19.58 21.64 02a57515o0380c  0x80000  24.501893
57515.409082 19.256669 NaN  -10.0  24.0   c  0.0   0.79 210.89922 54.31833  2006.81   499.68 5.24 3.65 -14.9 -0.479    19.58 21.61 02a57515o0393c   0x0000  25.442931
57515.410533 19.226921 NaN   20.0  18.0   c  0.0   1.09 210.89922 54.31833  3165.35 10300.00 4.12 3.91 -42.4 -0.391    19.61 21.65 02a57515o0396c   0x0000  19.883228
