         MJD         m       dm     uJy    duJy   F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 18.286218      NaN     2.0    58.0   o  0.0    1.21 210.89922 54.31833  2842.53  8530.38 3.57 3.45 -65.9 -0.436    18.44 19.38 02a57233o0013o   0x0000    59.014027
57233.282702 17.841885      NaN    85.0    60.0   o  0.0    1.05 210.89922 54.31833  2828.26  8539.02 3.53 3.35 -63.5 -0.453    18.41 19.29 02a57233o0029o   0x0000    60.980778
57365.645360 18.389700      NaN    64.0    32.0   o  0.0    0.82 210.89922 54.31833  7579.01  2238.28 4.38 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o  0x80000    33.803185
57365.663252 18.459772      NaN   -26.0    50.0   o  0.0    1.36 210.89922 54.31833  7323.27  1668.46 4.14 3.57   3.4 -0.484    18.19 18.98 02a57365o0723o   0x0000    51.172799
57386.594331 18.606822      NaN    35.0    32.0   o  0.0    0.99 210.89922 54.31833  7576.80  2234.57 3.86 3.33  10.7 -0.516    18.84 20.09 02a57386o0639o  0x80000    33.803185
57386.602983 18.738855      NaN    20.0    32.0   o  0.0    1.08 210.89922 54.31833  7306.39  1659.71 4.12 3.41   6.0 -0.512    18.83 20.09 02a57386o0653o  0x80000    33.803185
57386.614803 18.666446      NaN    25.0    33.0   o  0.0    0.99 210.89922 54.31833  8139.03  2803.54 3.84 3.55  21.4 -0.476    18.88 20.21 02a57386o0669o   0x0000    34.751336
57386.624437 18.816441      NaN    -4.0    36.0   o  0.0    0.93 210.89922 54.31833  8421.73  1040.51 4.34 3.39  13.2 -0.526    18.93 20.24 02a57386o0683o  0x80000    37.611904
57387.583683 18.806434      NaN    25.0    28.0   o  0.0    1.01 210.89922 54.31833  7579.73  2232.51 3.69 3.44   6.6 -0.483    18.92 19.99 02a57387o0634o  0x80000    30.044223
57387.591656 19.051202      NaN   -18.0    29.0   o  0.0    1.00 210.89922 54.31833  7309.41  1656.24 3.91 3.43   2.2 -0.498    18.95 20.02 02a57387o0647o   0x0000    30.978304
57387.605357 18.857417      NaN     2.0    34.0   o  0.0    1.21 210.89922 54.31833  8140.18  2799.19 3.58 3.45  28.0 -0.476    18.97 20.08 02a57387o0661o   0x0000    35.702315
57387.612122 18.550302      NaN    30.0    36.0   o  0.0    1.20 210.89922 54.31833  8422.97  1034.92 4.03 3.42   9.8 -0.516    19.01 20.11 02a57387o0672o   0x0000    37.611904
57409.597826 18.237955 0.342243   184.0    58.0   o  0.0    0.83 210.89922 54.31833  8159.19  1652.91 3.88 3.50  12.2 -0.489    18.59 19.61 02a57409o0642o   0x0000    59.014027
57409.623123 18.649074      NaN   -44.0    42.0   o  0.0    1.20 210.89922 54.31833  8447.43  2237.10 3.54 3.41  31.7 -0.506    18.69 19.72 02a57409o0679o  0x80000    43.389576
57409.630689 18.978793      NaN   -19.0    31.0   o  0.0    1.38 210.89922 54.31833  7615.23  1096.36 3.82 3.36   4.9 -0.513    18.73 19.78 02a57409o0690o   0x0000    32.858109
57409.635100 19.089302      NaN   -37.0    28.0   o  0.0    1.13 210.89922 54.31833  7307.00  2860.97 3.50 3.41  24.1 -0.458    18.75 19.82 02a57409o0697o   0x0000    30.044223
57414.610678 19.014394      NaN    -3.0    30.0   o  0.0    1.32 210.89922 54.31833  8085.84  1920.29 3.87 3.44  11.6 -0.492    18.77 19.88 02a57414o0661o   0x0000    31.916380
57414.627553 18.944322      NaN   -57.0    32.0   o  0.0    1.00 210.89922 54.31833  8373.39  2499.64 3.68 3.48  23.4 -0.478    18.77 19.88 02a57414o0687o   0x0000    33.803185
57414.645156 19.089302      NaN   -67.0    28.0   o  0.0    1.10 210.89922 54.31833  7240.50  3120.36 3.52 3.40  20.0 -0.458    18.78 19.88 02a57414o0714o   0x0000    30.044223
57414.661382 19.038793      NaN     4.0    28.0   o  0.0    1.37 210.89922 54.31833  7313.09  2871.98 3.55 3.35  18.1 -0.469    18.77 19.85 02a57414o0740o   0x0000    30.044223
57418.601312 18.921935      NaN    20.0    26.0   o  0.0    0.95 210.89922 54.31833  8254.91  1942.37 3.77 3.48  14.5 -0.480    19.19 20.72 02a57418o0642o   0x0000    28.189632
57418.622559 18.933071      NaN    25.0    24.0   o  0.0    1.12 210.89922 54.31833  8535.17  2519.30 3.76 3.63  36.9 -0.450    19.14 20.72 02a57418o0674o  0x80000    26.356315
57418.640915 19.089302      NaN    21.0    21.0   o  0.0    0.99 210.89922 54.31833  7420.00  3143.36 3.56 3.48  24.6 -0.437    19.18 20.73 02a57418o0701o  0x80000    23.657035
57418.657638 19.063754      NaN    14.0    24.0   o  0.0    0.98 210.89922 54.31833  7323.21  2878.00 3.91 3.75  18.2 -0.420    19.06 20.63 02a57418o0727o  0x80000    26.356315
57419.602717 19.302877      NaN   -61.0    23.0   o  0.0    1.01 210.89922 54.31833  7950.15  1386.53 4.13 3.58   7.1 -0.479    19.30 21.02 02a57419o0615o  0x80000    25.449073
57419.622718 19.256669      NaN   -15.0    24.0   o  0.0    0.93 210.89922 54.31833  8231.18  1969.73 3.84 3.51  15.6 -0.480    19.33 21.02 02a57419o0644o  0x80000    26.356315
57419.638318 19.454622      NaN   -14.0    20.0   o  0.0    1.03 210.89922 54.31833  7107.67  2585.40 3.78 3.54   9.7 -0.445    19.30 21.20 02a57419o0668o   0x0000    22.774006
57419.655984 19.038793      NaN    25.0    21.0   o  0.0    1.01 210.89922 54.31833  7326.31  2874.45 3.78 3.61  13.7 -0.433    19.30 21.01 02a57419o0695o  0x80000    23.657035
57440.518111 18.158337      NaN    36.0    54.0   o  0.0    1.00 210.89922 54.31833  8331.05  1371.20 4.30 3.46  13.1 -0.540    18.27 18.98 02a57440o0547o  0x80000    55.087706
57440.529939 18.417189      NaN   -27.0    52.0   o  0.0    1.14 210.89922 54.31833  8617.01  1948.41 3.98 3.43  21.4 -0.545    18.27 18.97 02a57440o0569o   0x0000    53.128668
57440.551953 18.623526      NaN   -52.0    43.0   o  0.0    1.04 210.89922 54.31833  7486.18  2580.75 3.88 3.44  12.5 -0.499    18.29 19.00 02a57440o0611o   0x0000    44.358261
57440.562821 18.550302      NaN   -19.0    46.0   o  0.0    1.04 210.89922 54.31833  7274.63  2861.70 3.77 3.43  11.2 -0.496    18.30 19.02 02a57440o0632o  0x80000    47.272141
57441.518643 18.068904      NaN    65.0    50.0   o  0.0    1.26 210.89922 54.31833  8112.85  1770.87 3.99 3.40  14.8 -0.534    18.23 18.89 02a57441o0557o   0x0000    51.172799
57441.526896 18.186107      NaN    34.0    53.0   o  0.0    0.89 210.89922 54.31833  8397.79  2345.66 3.79 3.38  24.3 -0.522    18.25 18.92 02a57441o0573o   0x0000    54.107812
57441.531928 18.623526      NaN    -7.0    43.0   o  0.0    1.08 210.89922 54.31833  7273.62  2964.72 3.57 3.38  12.2 -0.491    18.26 18.93 02a57441o0583o   0x0000    44.358261
57441.552276 18.186107      NaN    58.0    45.0   o  0.0    1.08 210.89922 54.31833  7275.44  2855.62 3.65 3.39  15.3 -0.483    18.27 18.94 02a57441o0622o   0x0000    46.299626
57466.479054 18.136622      NaN    76.0    42.0   o  0.0    0.83 210.89922 54.31833  8186.52  1456.29 4.59 3.60  16.2 -0.540    18.73 19.97 02a57466o0545o  0x80000    43.389576
57466.500550 18.445391      NaN    44.0    36.0   o  0.0    1.07 210.89922 54.31833  8485.25  2030.54 4.15 3.60  25.6 -0.544    18.77 20.03 02a57466o0585o  0x80000    37.611904
57466.521973 18.857417      NaN    14.0    30.0   o  0.0    1.11 210.89922 54.31833  7370.72  2656.61 3.85 3.39  11.5 -0.515    18.81 20.05 02a57466o0625o   0x0000    31.916380
57466.532670 19.051202      NaN     0.0    29.0   o  0.0    1.08 210.89922 54.31833  7276.36  2854.46 3.85 3.42   9.7 -0.514    18.82 20.07 02a57466o0647o  0x80000    30.978304
57470.480982 16.427488      NaN  -242.0   325.0   o  0.0    1.08 210.89922 54.31833  7265.91  2848.42 3.95 3.64  10.4 -0.488    16.46 16.46 02a57470o0553o 0x400802   325.182495
57474.485989 18.729535      NaN   -24.0    39.0   o  0.0    1.14 210.89922 54.31833  8140.97  1682.85 4.25 3.41  13.2 -0.525    18.71 19.95 02a57474o0492o  0x80000    40.492658
57474.506959 18.203116      NaN    82.0    36.0   o  0.0    1.04 210.89922 54.31833  2206.69  8433.74 4.02 3.43 -65.5 -0.490    18.70 19.95 02a57474o0529o   0x0000    37.611904
57474.528572 19.128787      NaN    -5.0    27.0   o  0.0    1.38 210.89922 54.31833  3321.19  7813.23 3.70 3.23 -71.3 -0.491    18.72 19.91 02a57474o0566o  0x80000    29.114521
57474.543901 18.748255      NaN    25.0    30.0   o  0.0    1.03 210.89922 54.31833  3345.44  7838.05 3.81 3.26 -70.0 -0.508    18.69 19.92 02a57474o0592o   0x0000    31.916380
57492.402356 19.051202      NaN     3.0    28.0   o  0.0    1.35 210.89922 54.31833  8201.35  1743.47 4.08 3.65  24.1 -0.505    19.02 20.45 02a57492o0382o   0x0000    30.044223
57492.415099 18.582238      NaN    62.0    24.0   o  0.0    1.20 210.89922 54.31833  8486.43  2312.18 3.81 3.54  35.0 -0.502    19.10 20.55 02a57492o0405o  0x80000    26.356315
57492.430506 19.401649      NaN    -1.0    21.0   o  0.0    1.26 210.89922 54.31833  7348.59  2940.30 3.68 3.53  29.9 -0.475    19.11 20.59 02a57492o0433o   0x0000    23.657035
57492.449596 19.351140      NaN    -7.0    22.0   o  0.0    0.96 210.89922 54.31833  7270.66  2845.22 3.75 3.58  18.9 -0.458    19.13 20.66 02a57492o0472o  0x80000    24.549039
57523.355574 18.910912      NaN   -53.0    33.0   o  0.0    1.06 210.89922 54.31833  6155.28  1373.48 4.32 3.45   1.6 -0.534    18.86 20.17 02a57523o0219o  0x80000    34.751336
57523.364398 18.910912      NaN    12.0    29.0   o  0.0    1.16 210.89922 54.31833  4324.97  9125.33 3.89 3.60 -78.6 -0.470    18.84 20.22 02a57523o0237o  0x80000    30.978304
57523.381095 19.014394      NaN   -17.0    30.0   o  0.0    0.84 210.89922 54.31833  4388.13  9207.44 3.84 3.59 -75.7 -0.464    18.84 20.19 02a57523o0271o   0x0000    31.916380
57523.387699 18.889197      NaN    11.0    30.0   o  0.0    1.30 210.89922 54.31833  4412.62  9092.66 3.94 3.65 -75.5 -0.455    18.81 20.18 02a57523o0284o   0x0000    31.916380
57523.409491 18.729535      NaN    24.0    31.0   o  0.0    1.07 210.89922 54.31833  4369.77  9152.90 3.83 3.53 -77.8 -0.474    18.80 20.13 02a57523o0325o   0x0000    32.858109
