         MJD         m       dm     uJy    duJy   F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 18.208845      NaN    -8.0    63.0   o  0.0     0.95 210.89571 54.31527  2846.35  8524.29 3.57 3.45 -66.0 -0.436    18.44 19.38 02a57233o0013o   0x0000    63.934774
57233.282702 18.261819      NaN   -21.0    60.0   o  0.0     1.13 210.89571 54.31527  2832.09  8532.93 3.53 3.35 -63.5 -0.453    18.41 19.29 02a57233o0029o   0x0000    60.980778
57365.645360 19.014394      NaN     0.0    30.0   o  0.0     1.08 210.89571 54.31527  7575.17  2244.35 4.38 3.89   4.4 -0.435    18.89 20.47 02a57365o0696o  0x80000    31.916380
57365.663252 18.574166      NaN   -84.0    45.0   o  0.0     1.56 210.89571 54.31527  7319.42  1674.53 4.14 3.57   3.4 -0.484    18.19 18.98 02a57365o0723o   0x0000    46.299626
57386.594331 18.944322      NaN   -78.0    32.0   o  0.0     1.00 210.89571 54.31527  7572.97  2240.65 3.86 3.33  10.7 -0.516    18.84 20.09 02a57386o0639o  0x80000    33.803185
57386.602983 18.836735      NaN    10.0    32.0   o  0.0     1.04 210.89571 54.31527  7302.54  1665.78 4.12 3.41   6.0 -0.512    18.83 20.09 02a57386o0653o  0x80000    33.803185
57386.614803 18.910912      NaN   -28.0    33.0   o  0.0     0.94 210.89571 54.31527  8135.23  2809.63 3.84 3.55  21.5 -0.476    18.88 20.21 02a57386o0669o   0x0000    34.751336
57386.624437 18.944322      NaN    -6.0    32.0   o  0.0     1.26 210.89571 54.31527  8417.93  1046.66 4.34 3.39  13.2 -0.526    18.93 20.24 02a57386o0683o  0x80000    33.803185
57387.583683 18.748255      NaN    37.0    26.0   o  0.0     1.12 210.89571 54.31527  7575.90  2238.58 3.69 3.44   6.6 -0.483    18.92 19.99 02a57387o0634o  0x80000    28.189632
57387.591656 19.089302      NaN   -22.0    28.0   o  0.0     1.11 210.89571 54.31527  7305.56  1662.31 3.91 3.43   2.1 -0.498    18.95 20.02 02a57387o0647o   0x0000    30.044223
57387.605357 18.702047      NaN    18.0    34.0   o  0.0     1.18 210.89571 54.31527  8136.39  2805.28 3.58 3.45  28.1 -0.475    18.97 20.08 02a57387o0661o   0x0000    35.702315
57387.612122 18.675237      NaN     9.0    38.0   o  0.0     1.04 210.89571 54.31527  8419.17  1041.08 4.02 3.42   9.8 -0.516    19.01 20.11 02a57387o0672o   0x0000    39.530435
57409.597826 18.280067      NaN  -130.0    59.0   o  0.0     0.82 210.89571 54.31527  8155.38  1659.03 3.88 3.50  12.2 -0.489    18.59 19.61 02a57409o0642o   0x0000    59.997128
57409.623123 18.649074      NaN   -54.0    42.0   o  0.0     1.18 210.89571 54.31527  8443.64  2243.22 3.54 3.41  31.9 -0.505    18.69 19.72 02a57409o0679o  0x80000    43.389576
57409.630689 18.806434      NaN     7.0    34.0   o  0.0     1.15 210.89571 54.31527  7611.38  1102.46 3.82 3.36   4.9 -0.513    18.73 19.78 02a57409o0690o   0x0000    35.702315
57409.635100 19.169763      NaN    -1.0    26.0   o  0.0     1.34 210.89571 54.31527  7303.15  2867.01 3.50 3.41  24.3 -0.458    18.75 19.82 02a57409o0697o   0x0000    28.189632
57414.610678 18.978793      NaN   -22.0    31.0   o  0.0     1.25 210.89571 54.31527  8082.03  1926.40 3.87 3.44  11.6 -0.492    18.77 19.88 02a57414o0661o   0x0000    32.858109
57414.627553 18.910912      NaN     3.0    32.0   o  0.0     1.15 210.89571 54.31527  8369.60  2505.75 3.68 3.48  23.5 -0.478    18.77 19.88 02a57414o0687o   0x0000    33.803185
57414.645156 18.598565      NaN    42.0    30.0   o  0.0     1.00 210.89571 54.31527  7236.65  3126.39 3.52 3.40  20.1 -0.458    18.78 19.88 02a57414o0714o   0x0000    31.916380
57414.661382 18.933071      NaN    22.0    25.0   o  0.0     1.58 210.89571 54.31527  7309.24  2878.02 3.55 3.35  18.2 -0.468    18.77 19.85 02a57414o0740o   0x0000    27.270044
57418.601312 19.256669      NaN   -29.0    24.0   o  0.0     1.11 210.89571 54.31527  8251.10  1948.48 3.77 3.48  14.5 -0.480    19.19 20.72 02a57418o0642o   0x0000    26.356315
57418.622559 19.256669      NaN    -8.0    24.0   o  0.0     1.24 210.89571 54.31527  8531.38  2525.42 3.76 3.63  37.1 -0.450    19.14 20.72 02a57418o0674o  0x80000    26.356315
57418.640915 19.401649      NaN   -60.0    21.0   o  0.0     1.17 210.89571 54.31527  7416.16  3149.40 3.55 3.48  24.8 -0.437    19.18 20.73 02a57418o0701o  0x80000    23.657035
57418.657638 19.256669      NaN   -22.0    24.0   o  0.0     0.99 210.89571 54.31527  7319.36  2884.03 3.90 3.75  18.2 -0.420    19.06 20.63 02a57418o0727o  0x80000    26.356315
57419.602717 19.197966      NaN     1.0    25.0   o  0.0     0.98 210.89571 54.31527  7946.32  1392.64 4.13 3.58   7.1 -0.478    19.30 21.02 02a57419o0615o  0x80000    27.270044
57419.622718 19.115465      NaN    16.0    22.0   o  0.0     0.97 210.89571 54.31527  8227.37  1975.84 3.84 3.51  15.6 -0.479    19.33 21.02 02a57419o0644o  0x80000    24.549039
57419.638318 19.367717      NaN     8.0    19.0   o  0.0     1.35 210.89571 54.31527  7103.80  2591.43 3.78 3.54   9.7 -0.445    19.30 21.20 02a57419o0668o   0x0000    21.901035
57419.655984 19.212347      NaN    12.0    21.0   o  0.0     0.98 210.89571 54.31527  7322.46  2880.48 3.78 3.61  13.8 -0.433    19.30 21.01 02a57419o0695o  0x80000    23.657035
57440.518111 18.349730      NaN     1.0    55.0   o  0.0     1.17 210.89571 54.31527  8327.24  1377.34 4.30 3.46  13.1 -0.540    18.27 18.98 02a57440o0547o  0x80000    56.068309
