         MJD         m       dm    uJy  duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57396.587948 19.454622      NaN  -16.0  20.0   c  0.0   1.04 210.89571 54.30804  7733.56  2264.26 3.99 3.60   7.7 -0.427    19.59 21.57 02a57396o0607c  0x80000  21.710429
57396.598947 19.351140      NaN   15.0  17.0   c  0.0   1.14 210.89571 54.30804  7447.18  1691.24 4.10 3.60   5.0 -0.444    19.60 21.58 02a57396o0625c  0x80000  18.982696
57396.614233 18.847027      NaN  -95.0  35.0   c  0.0   1.03 210.89571 54.30804  8260.82  2835.37 3.80 3.60  20.1 -0.418    19.60 21.56 02a57396o0650c  0x80000  36.004760
57396.627717 18.298627      NaN   42.0  44.0   c  0.0   1.13 210.89571 54.30804  8523.20  1074.20 4.33 3.66  11.1 -0.431    19.59 21.57 02a57396o0672c  0x80000  44.803379
57424.598946 18.738855      NaN   56.0  20.0   c  0.0   0.86 210.89571 54.30804  8232.07  1590.26 4.32 3.76  10.2 -0.440    19.70 21.79 02a57424o0633c  0x80000  21.710429
57424.604067 19.510313      NaN   -9.0  19.0   c  0.0   0.98 210.89571 54.30804  8496.06  2160.36 4.25 3.83  15.0 -0.423    19.68 21.79 02a57424o0641c  0x80000  20.792853
57424.621336 19.384550      NaN   13.0  17.0   c  0.0   0.94 210.89571 54.30804  7340.76  2777.65 4.01 3.71   9.7 -0.415    19.70 21.79 02a57424o0667c  0x80000  18.982696
57424.633626 19.696897      NaN   -4.0  16.0   c  0.0   1.08 210.89571 54.30804  7263.70  2871.47 3.96 3.67  11.3 -0.418    19.70 21.79 02a57424o0685c   0x0000  18.092616
57448.521048 19.169763      NaN  -29.0  26.0   c  0.0   0.77 210.89571 54.30804  7898.71  1781.08 4.00 3.65  14.8 -0.450    19.26 20.81 02a57448o0458c  0x80000  27.337570
57448.543577 19.256669      NaN  -25.0  24.0   c  0.0   0.90 210.89571 54.30804  8190.68  2361.41 3.94 3.73  22.9 -0.440    19.21 20.77 02a57448o0497c   0x0000  25.442931
57448.565924 19.169763      NaN    9.0  23.0   c  0.0   1.13 210.89571 54.30804  7049.92  2983.31 4.38 3.91  -1.3 -0.388    19.09 20.75 02a57448o0536c  0x80000  24.501893
57448.596475 19.102305      NaN   17.0  22.0   c  0.0   1.23 210.89571 54.30804  3378.22  7814.71 3.87 3.61 -70.5 -0.422    19.20 20.80 02a57448o0592c  0x80000  23.565711
57449.515332 19.128787      NaN   18.0  21.0   c  0.0   0.93 210.89571 54.30804  8135.44  1731.77 4.04 3.63  15.3 -0.462    19.45 21.19 02a57449o0610c  0x80000  22.634989
57449.538360 19.454622      NaN  -44.0  20.0   c  0.0   0.93 210.89571 54.30804  8433.82  2309.64 3.82 3.59  30.3 -0.456    19.42 21.11 02a57449o0650c  0x80000  21.710429
