         MJD         m       dm      uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 18.104842      NaN     22.0    62.0   o  0.0   0.99 210.89571 54.30804  2845.99  8510.21 3.57 3.45 -66.2 -0.436    18.44 19.38 02a57233o0013o   0x0000    62.949625
57233.282702 18.280067      NaN     -8.0    59.0   o  0.0   1.29 210.89571 54.30804  2831.73  8518.84 3.53 3.35 -63.7 -0.453    18.41 19.29 02a57233o0029o   0x0000    59.997128
57365.645360 18.857417      NaN     14.0    30.0   o  0.0   1.06 210.89571 54.30804  7575.52  2258.41 4.37 3.89   4.5 -0.435    18.89 20.47 02a57365o0696o  0x80000    31.916380
57365.663252 18.009935      NaN     71.0    52.0   o  0.0   1.43 210.89571 54.30804  7319.71  1688.62 4.13 3.57   3.4 -0.483    18.19 18.98 02a57365o0723o   0x0000    53.128668
57386.594331 18.867907      NaN      7.0    32.0   o  0.0   0.83 210.89571 54.30804  7573.32  2254.71 3.85 3.33  10.7 -0.515    18.84 20.09 02a57386o0639o  0x80000    33.803185
57386.602983 18.921935      NaN     11.0    29.0   o  0.0   1.20 210.89571 54.30804  7302.83  1679.87 4.12 3.41   6.0 -0.512    18.83 20.09 02a57386o0653o  0x80000    30.978304
57386.614803 18.910912      NaN    -57.0    33.0   o  0.0   0.97 210.89571 54.30804  8135.67  2823.67 3.84 3.55  21.7 -0.476    18.88 20.21 02a57386o0669o   0x0000    34.751336
57386.624437 18.489118      NaN     38.0    36.0   o  0.0   0.79 210.89571 54.30804  8418.37  1060.81 4.33 3.39  13.3 -0.527    18.93 20.24 02a57386o0683o  0x80000    37.611904
57387.583683 18.910912      NaN     18.0    27.0   o  0.0   1.27 210.89571 54.30804  7576.24  2252.65 3.69 3.44   6.7 -0.483    18.92 19.99 02a57387o0634o  0x80000    29.114521
57387.591656 19.014394      NaN      6.0    28.0   o  0.0   1.11 210.89571 54.30804  7305.85  1676.40 3.91 3.43   2.1 -0.498    18.95 20.02 02a57387o0647o   0x0000    30.044223
57387.605357 18.757738      NaN    -51.0    38.0   o  0.0   0.79 210.89571 54.30804  8136.83  2819.32 3.58 3.45  28.8 -0.475    18.97 20.08 02a57387o0661o   0x0000    39.530435
57387.612122 18.666446      NaN     13.0    37.0   o  0.0   1.07 210.89571 54.30804  8419.61  1055.23 4.02 3.42   9.9 -0.516    19.01 20.11 02a57387o0672o   0x0000    38.570135
57409.597826 18.191747      NaN    -52.0    64.0   o  0.0   0.88 210.89571 54.30804  8155.79  1673.13 3.87 3.50  12.4 -0.489    18.59 19.61 02a57409o0642o   0x0000    64.920377
57409.623123 18.336727      NaN     30.0    46.0   o  0.0   0.88 210.89571 54.30804  8444.10  2257.29 3.53 3.41  32.6 -0.505    18.69 19.72 02a57409o0679o  0x80000    47.272141
57409.630689 18.910912      NaN      6.0    31.0   o  0.0   1.24 210.89571 54.30804  7611.69  1116.60 3.82 3.36   4.9 -0.512    18.73 19.78 02a57409o0690o   0x0000    32.858109
57409.635100 19.014394      NaN    -42.0    30.0   o  0.0   1.04 210.89571 54.30804  7303.44  2881.04 3.50 3.41  25.1 -0.458    18.75 19.82 02a57409o0697o   0x0000    31.916380
57414.610678 18.944322      NaN     -6.0    32.0   o  0.0   1.00 210.89571 54.30804  8082.43  1940.48 3.86 3.44  11.7 -0.492    18.77 19.88 02a57414o0661o   0x0000    33.803185
57414.627553 18.978793      NaN    -53.0    31.0   o  0.0   1.07 210.89571 54.30804  8370.05  2519.81 3.68 3.48  23.8 -0.478    18.77 19.88 02a57414o0687o   0x0000    32.858109
57414.645156 19.051202      NaN    -26.0    29.0   o  0.0   1.23 210.89571 54.30804  7236.93  3140.41 3.51 3.40  20.6 -0.458    18.78 19.88 02a57414o0714o   0x0000    30.978304
57414.661382 18.933071      NaN     16.0    27.0   o  0.0   1.17 210.89571 54.30804  7309.53  2892.05 3.54 3.35  18.5 -0.468    18.77 19.85 02a57414o0740o   0x0000    29.114521
57418.601312 19.302877      NaN    -29.0    23.0   o  0.0   1.03 210.89571 54.30804  8251.53  1962.57 3.77 3.48  14.7 -0.479    19.19 20.72 02a57418o0642o   0x0000    25.449073
57418.622559 19.226921      NaN      5.0    23.0   o  0.0   1.18 210.89571 54.30804  8531.86  2539.48 3.76 3.63  37.8 -0.450    19.14 20.72 02a57418o0674o  0x80000    25.449073
57418.640915 19.128787      NaN     18.0    21.0   o  0.0   1.19 210.89571 54.30804  7416.46  3163.42 3.55 3.48  25.6 -0.436    19.18 20.73 02a57418o0701o  0x80000    23.657035
57418.657638 19.351140      NaN     -2.0    22.0   o  0.0   1.25 210.89571 54.30804  7319.64  2898.06 3.90 3.75  18.6 -0.420    19.06 20.63 02a57418o0727o  0x80000    24.549039
57419.602717 19.115465      NaN     13.0    23.0   o  0.0   1.13 210.89571 54.30804  7946.69  1406.76 4.12 3.58   7.1 -0.478    19.30 21.02 02a57419o0615o  0x80000    25.449073
57419.622718 19.367717      NaN      2.0    21.0   o  0.0   1.12 210.89571 54.30804  8227.79  1989.93 3.84 3.51  15.7 -0.479    19.33 21.02 02a57419o0644o  0x80000    23.657035
57419.638318 19.401649      NaN    -10.0    21.0   o  0.0   1.12 210.89571 54.30804  7104.05  2605.47 3.78 3.54   9.9 -0.445    19.30 21.20 02a57419o0668o   0x0000    23.657035
57419.655984 19.510313      NaN     -6.0    19.0   o  0.0   1.35 210.89571 54.30804  7322.74  2894.51 3.78 3.61  14.0 -0.433    19.30 21.01 02a57419o0695o  0x80000    21.901035
57440.518111 18.356290      NaN    -96.0    55.0   o  0.0   1.06 210.89571 54.30804  8327.68  1391.46 4.29 3.46  13.1 -0.539    18.27 18.98 02a57440o0547o  0x80000    56.068309
57440.529939 18.481707      NaN    -20.0    49.0   o  0.0   1.03 210.89571 54.30804  8613.72  1968.64 3.98 3.44  21.5 -0.545    18.27 18.97 02a57440o0569o   0x0000    50.196168
57440.551953 18.623526      NaN    -64.0    43.0   o  0.0   1.10 210.89571 54.30804  7482.66  2600.85 3.88 3.45  12.6 -0.498    18.29 19.00 02a57440o0611o   0x0000    44.358261
