         MJD         m       dm     uJy    duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 17.900816      NaN    83.0    56.0   o  0.0   1.46 210.92212 54.30498  2815.88  8505.22 3.57 3.45 -66.2 -0.436    18.44 19.38 02a57233o0013o   0x0000    57.049587
57233.282702 18.039019      NaN    14.0    69.0   o  0.0   1.01 210.92212 54.30498  2801.62  8513.86 3.53 3.35 -63.5 -0.452    18.41 19.29 02a57233o0029o   0x0000    69.854530
57365.645360 19.014394      NaN     9.0    27.0   o  0.0   1.29 210.92212 54.30498  7605.59  2263.46 4.37 3.89   4.7 -0.435    18.89 20.47 02a57365o0696o  0x80000    29.114521
57365.663252 18.459772      NaN   -41.0    50.0   o  0.0   1.47 210.92212 54.30498  7349.77  1693.78 4.13 3.57   3.6 -0.483    18.19 18.98 02a57365o0723o   0x0000    51.172799
57386.594331 18.711133      NaN    17.0    34.0   o  0.0   0.91 210.92212 54.30498  7603.39  2259.76 3.85 3.33  11.0 -0.515    18.84 20.09 02a57386o0639o  0x80000    35.702315
57386.602983 18.550302      NaN    42.0    32.0   o  0.0   0.97 210.92212 54.30498  7332.89  1685.03 4.11 3.41   6.3 -0.512    18.83 20.09 02a57386o0653o  0x80000    33.803185
57386.614803 18.684100      NaN    32.0    30.0   o  0.0   1.09 210.92212 54.30498  8165.82  2828.51 3.84 3.55  22.2 -0.476    18.88 20.21 02a57386o0669o   0x0000    31.916380
57386.624437 18.816441      NaN   -52.0    36.0   o  0.0   0.86 210.92212 54.30498  8448.64  1065.52 4.33 3.39  13.5 -0.526    18.93 20.24 02a57386o0683o  0x80000    37.611904
57387.583683 19.089302      NaN     3.0    27.0   o  0.0   1.29 210.92212 54.30498  7606.31  2257.69 3.69 3.44   7.1 -0.483    18.92 19.99 02a57387o0634o  0x80000    29.114521
57387.591656 19.128787      NaN   -40.0    27.0   o  0.0   1.01 210.92212 54.30498  7335.91  1681.56 3.90 3.43   2.3 -0.497    18.95 20.02 02a57387o0647o   0x0000    29.114521
57387.605357 18.550302      NaN    24.0    38.0   o  0.0   0.84 210.92212 54.30498  8166.97  2824.16 3.58 3.45  29.8 -0.475    18.97 20.08 02a57387o0661o   0x0000    39.530435
57387.612122 18.649074      NaN    12.0    38.0   o  0.0   0.98 210.92212 54.30498  8449.88  1059.93 4.02 3.42  10.1 -0.517    19.01 20.11 02a57387o0672o   0x0000    39.530435
57409.597826 17.922662      NaN    84.0    54.0   o  0.0   1.00 210.92212 54.30498  8185.98  1677.97 3.87 3.50  12.6 -0.488    18.59 19.61 02a57409o0642o   0x0000    55.087706
57409.623123 18.623526      NaN   -39.0    43.0   o  0.0   1.20 210.92212 54.30498  8474.32  2262.02 3.53 3.41  33.6 -0.505    18.69 19.72 02a57409o0679o  0x80000    44.358261
57409.630689 18.796518      NaN     8.0    34.0   o  0.0   1.07 210.92212 54.30498  7641.82  1121.67 3.81 3.36   5.1 -0.513    18.73 19.78 02a57409o0690o   0x0000    35.702315
57409.635100 18.867907      NaN    19.0    28.0   o  0.0   1.01 210.92212 54.30498  7333.46  2886.23 3.49 3.41  26.3 -0.458    18.75 19.82 02a57409o0697o   0x0000    30.044223
57414.610678 18.978793      NaN    -5.0    31.0   o  0.0   1.08 210.92212 54.30498  8112.60  1945.35 3.86 3.44  12.0 -0.492    18.77 19.88 02a57414o0661o   0x0000    32.858109
57414.627553 18.511660      NaN    41.0    34.0   o  0.0   0.83 210.92212 54.30498  8400.25  2524.58 3.68 3.48  24.5 -0.478    18.77 19.88 02a57414o0687o   0x0000    35.702315
57414.645156 18.900000      NaN    13.0    29.0   o  0.0   0.87 210.92212 54.30498  7266.94  3145.64 3.51 3.40  21.8 -0.458    18.78 19.88 02a57414o0714o   0x0000    30.978304
57414.661382 19.128787      NaN   -37.0    27.0   o  0.0   1.17 210.92212 54.30498  7339.55  2897.26 3.54 3.35  19.1 -0.468    18.77 19.85 02a57414o0740o   0x0000    29.114521
57418.601312 19.051202      NaN    15.0    24.0   o  0.0   1.09 210.92212 54.30498  8281.72  1967.38 3.76 3.48  15.0 -0.480    19.19 20.72 02a57418o0642o   0x0000    26.356315
57418.622559 18.806434      NaN    40.0    23.0   o  0.0   1.17 210.92212 54.30498  8562.09  2544.19 3.76 3.63  38.7 -0.450    19.14 20.72 02a57418o0674o  0x80000    25.449073
57418.640915 19.510313      NaN   -12.0    19.0   o  0.0   0.98 210.92212 54.30498  7446.49  3168.58 3.55 3.48  27.2 -0.437    19.18 20.73 02a57418o0701o  0x80000    21.901035
57418.657638 19.401649      NaN   -10.0    21.0   o  0.0   1.21 210.92212 54.30498  7349.66  2903.27 3.90 3.75  19.2 -0.420    19.06 20.63 02a57418o0727o  0x80000    23.657035
57419.602717 19.256669      NaN    -3.0    24.0   o  0.0   0.81 210.92212 54.30498  7976.86  1411.69 4.12 3.58   7.3 -0.478    19.30 21.02 02a57419o0615o  0x80000    26.356315
57419.622718 19.241693      NaN     7.0    22.0   o  0.0   0.89 210.92212 54.30498  8257.98  1994.76 3.83 3.51  16.1 -0.479    19.33 21.02 02a57419o0644o  0x80000    24.549039
57419.638318 19.302877      NaN    12.0    19.0   o  0.0   1.12 210.92212 54.30498  7134.05  2610.76 3.78 3.54  10.3 -0.445    19.30 21.20 02a57419o0668o   0x0000    21.901035
57419.655984 19.569016      NaN    -8.0    18.0   o  0.0   1.39 210.92212 54.30498  7352.76  2899.72 3.77 3.61  14.6 -0.433    19.30 21.01 02a57419o0695o  0x80000    21.039376
57440.518111 18.203116      NaN    43.0    49.0   o  0.0   1.12 210.92212 54.30498  8357.92  1396.20 4.29 3.46  13.4 -0.540    18.27 18.98 02a57440o0547o  0x80000    50.196168
57440.529939 18.481707      NaN   -87.0    49.0   o  0.0   1.20 210.92212 54.30498  8643.98  1973.28 3.98 3.44  22.0 -0.545    18.27 18.97 02a57440o0569o   0x0000    50.196168
57440.551953 18.445391      NaN    17.0    45.0   o  0.0   1.03 210.92212 54.30498  7512.72  2605.96 3.88 3.45  13.0 -0.498    18.29 19.00 02a57440o0611o   0x0000    46.299626
57440.562821 18.099634      NaN    56.0    51.0   o  0.0   0.75 210.92212 54.30498  7301.09  2886.96 3.77 3.43  11.8 -0.495    18.30 19.02 02a57440o0632o  0x80000    52.150315
57441.518643 17.751519      NaN   120.0    56.0   o  0.0   0.86 210.92212 54.30498  8139.63  1795.92 3.98 3.40  15.2 -0.533    18.23 18.89 02a57441o0557o   0x0000    57.049587
57441.526896 18.292405      NaN    13.0    54.0   o  0.0   0.93 210.92212 54.30498  8424.68  2370.58 3.78 3.38  25.2 -0.522    18.25 18.92 02a57441o0573o   0x0000    55.087706
57441.531928 18.273950      NaN    46.0    44.0   o  0.0   1.13 210.92212 54.30498  7300.08  2989.98 3.56 3.39  13.3 -0.491    18.26 18.93 02a57441o0583o   0x0000    45.328306
57441.552276 18.550302      NaN   -66.0    46.0   o  0.0   1.12 210.92212 54.30498  7301.90  2880.88 3.65 3.40  16.1 -0.483    18.27 18.94 02a57441o0622o   0x0000    47.272141
57466.479054 18.566153      NaN    13.0    41.0   o  0.0   0.93 210.92212 54.30498  8213.33  1481.34 4.58 3.60  16.5 -0.539    18.73 19.97 02a57466o0545o  0x80000    42.422345
57466.500550 18.711133      NaN    20.0    33.0   o  0.0   1.17 210.92212 54.30498  8512.16  2055.46 4.14 3.61  26.5 -0.544    18.77 20.03 02a57466o0585o  0x80000    34.751336
57466.521973 18.738855      NaN    26.0    30.0   o  0.0   1.06 210.92212 54.30498  7397.20  2681.86 3.84 3.39  12.0 -0.514    18.81 20.05 02a57466o0625o   0x0000    31.916380
57466.532670 19.089302      NaN   -25.0    28.0   o  0.0   1.08 210.92212 54.30498  7302.81  2879.73 3.84 3.43  10.1 -0.514    18.82 20.07 02a57466o0647o  0x80000    30.044223
57470.480982 16.030037      NaN   470.0   312.0   o  0.0   1.42 210.92212 54.30498  7292.37  2873.69 3.94 3.64  11.0 -0.489    16.46 16.46 02a57470o0553o 0x400802   312.190095
57474.485989 18.163834      NaN    71.0    42.0   o  0.0   0.98 210.92212 54.30498  8167.75  1707.91 4.24 3.41  13.6 -0.525    18.71 19.95 02a57474o0492o  0x80000    43.389576
57474.506959 18.878500      NaN     0.0    34.0   o  0.0   1.12 210.92212 54.30498  2179.80  8408.81 4.03 3.43 -65.5 -0.490    18.70 19.95 02a57474o0529o   0x0000    35.702315
57474.528572 18.396507      NaN    63.0    32.0   o  0.0   1.07 210.92212 54.30498  3294.71  7787.97 3.70 3.23 -71.1 -0.491    18.72 19.91 02a57474o0566o  0x80000    33.803185
57474.543901 18.878500      NaN   -45.0    34.0   o  0.0   0.98 210.92212 54.30498  3318.97  7812.77 3.81 3.26 -69.9 -0.508    18.69 19.92 02a57474o0592o   0x0000    35.702315
57492.402356 19.089302      NaN    -4.0    28.0   o  0.0   1.26 210.92212 54.30498  8228.16  1768.49 4.08 3.65  24.8 -0.505    19.02 20.45 02a57492o0382o   0x0000    30.044223
57492.415099 19.212347      NaN   -38.0    25.0   o  0.0   1.00 210.92212 54.30498  8513.35  2337.07 3.81 3.54  36.3 -0.501    19.10 20.55 02a57492o0405o  0x80000    27.270044
57492.430506 18.967180      NaN    28.0    22.0   o  0.0   1.22 210.92212 54.30498  7375.08  2965.54 3.67 3.53  31.9 -0.475    19.11 20.59 02a57492o0433o   0x0000    24.549039
57492.449596 19.302877      NaN   -21.0    23.0   o  0.0   0.85 210.92212 54.30498  7297.12  2870.49 3.74 3.58  20.3 -0.458    19.13 20.66 02a57492o0472o  0x80000    25.449073
57523.355574 18.684100      NaN    26.0    32.0   o  0.0   0.99 210.92212 54.30498  6181.39  1399.25 4.31 3.45   1.8 -0.534    18.86 20.17 02a57523o0219o  0x80000    33.803185
57523.364398 19.128787      NaN   -24.0    27.0   o  0.0   1.28 210.92212 54.30498  4298.79  9099.60 3.88 3.60 -78.5 -0.470    18.84 20.22 02a57523o0237o  0x80000    29.114521
57523.381095 19.128787      NaN   -39.0    27.0   o  0.0   1.26 210.92212 54.30498  4361.97  9181.68 3.84 3.59 -75.6 -0.463    18.84 20.19 02a57523o0271o   0x0000    29.114521
57523.387699 19.128787      NaN   -29.0    27.0   o  0.0   1.25 210.92212 54.30498  4386.47  9066.89 3.94 3.65 -75.3 -0.455    18.81 20.18 02a57523o0284o   0x0000    29.114521
57523.409491 18.978793      NaN   -24.0    31.0   o  0.0   1.04 210.92212 54.30498  4343.62  9127.14 3.83 3.53 -77.6 -0.473    18.80 20.13 02a57523o0325o   0x0000    32.858109
57527.358027 18.702047      NaN   -18.0    40.0   o  0.0   1.10 210.92212 54.30498  2649.79  9374.26 4.15 3.76 -55.3 -0.470    18.46 19.51 02a57527o0104o  0x80000    41.456668
57527.369297 18.094452      NaN    69.0    47.0   o  0.0   0.97 210.92212 54.30498  2635.47  9338.66 4.31 3.88 -46.8 -0.459    18.41 19.50 02a57527o0126o   0x0000    48.245780
57527.371716 18.711133      NaN     8.0    37.0   o  0.0   1.34 210.92212 54.30498  2694.16  9417.72 4.06 3.66 -57.0 -0.480    18.46 19.48 02a57527o0131o  0x80000    38.570135
57527.394983 18.574166      NaN   -64.0    45.0   o  0.0   1.04 210.92212 54.30498  2715.29  9302.65 4.33 3.86 -63.3 -0.462    18.38 19.45 02a57527o0177o  0x80000    46.299626
57527.405379 18.649074      NaN   -33.0    42.0   o  0.0   1.25 210.92212 54.30498  2684.65  9362.09 4.33 3.85 -61.3 -0.456    18.37 19.43 02a57527o0198o  0x80000    43.389576
57535.336981 15.358815      NaN  1001.0   536.0   o  0.0   1.42 210.92212 54.30498  2439.21  8194.61 3.91 3.44 -66.3 -0.480    15.47 16.84 02a57535o0225o 0x400802   536.110675
