         MJD         m       dm      uJy    duJy   F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask     duJy_new
57233.262703 18.220396      NaN      4.0    61.0   o  0.0     1.10 210.92686 54.31166  2810.84  8518.41 3.57 3.45 -66.0 -0.436    18.44 19.38 02a57233o0013o   0x0000    61.964952
57233.282702 18.089294      NaN     22.0    63.0   o  0.0     1.07 210.92686 54.31166  2796.58  8527.05 3.53 3.35 -63.4 -0.452    18.41 19.29 02a57233o0029o   0x0000    63.934774
57365.645360 18.806434      NaN     19.0    30.0   o  0.0     0.85 210.92686 54.31166  7610.64  2250.31 4.37 3.89   4.7 -0.435    18.89 20.47 02a57365o0696o  0x80000    31.916380
57365.663252 18.459772      NaN    -57.0    50.0   o  0.0     1.53 210.92686 54.31166  7354.86  1680.61 4.13 3.57   3.6 -0.484    18.19 18.98 02a57365o0723o   0x0000    51.172799
57386.594331 18.574166      NaN     27.0    36.0   o  0.0     0.74 210.92686 54.31166  7608.44  2246.60 3.85 3.33  11.0 -0.515    18.84 20.09 02a57386o0639o  0x80000    37.611904
57386.602983 18.944322      NaN     -4.0    32.0   o  0.0     1.07 210.92686 54.31166  7337.99  1671.87 4.12 3.41   6.3 -0.513    18.83 20.09 02a57386o0653o  0x80000    33.803185
57386.614803 18.615142      NaN     31.0    33.0   o  0.0     0.94 210.92686 54.31166  8170.78  2815.33 3.84 3.55  22.1 -0.476    18.88 20.21 02a57386o0669o   0x0000    34.751336
57386.624437 18.438271      NaN     36.0    39.0   o  0.0     0.86 210.92686 54.31166  8453.62  1052.21 4.33 3.39  13.5 -0.526    18.93 20.24 02a57386o0683o  0x80000    40.492658
57387.583683 18.657725      NaN     35.0    30.0   o  0.0     1.02 210.92686 54.31166  7611.36  2244.54 3.69 3.44   7.1 -0.483    18.92 19.99 02a57387o0634o  0x80000    31.916380
57387.591656 19.051202      NaN    -14.0    29.0   o  0.0     0.93 210.92686 54.31166  7341.00  1668.39 3.91 3.43   2.4 -0.498    18.95 20.02 02a57387o0647o   0x0000    30.978304
57387.605357 18.786693      NaN    -15.0    37.0   o  0.0     0.85 210.92686 54.31166  8171.94  2810.98 3.58 3.45  29.3 -0.476    18.97 20.08 02a57387o0661o   0x0000    38.570135
57387.612122 18.163834      NaN     83.0    38.0   o  0.0     0.85 210.92686 54.31166  8454.86  1046.62 4.02 3.42  10.1 -0.517    19.01 20.11 02a57387o0672o   0x0000    39.530435
57409.597826 17.958558      NaN     76.0    54.0   o  0.0     1.28 210.92686 54.31166  8190.98  1664.73 3.87 3.50  12.6 -0.489    18.59 19.61 02a57409o0642o   0x0000    55.087706
57409.623123 18.191747      NaN     45.0    49.0   o  0.0     0.83 210.92686 54.31166  8479.28  2248.80 3.53 3.41  33.2 -0.505    18.69 19.72 02a57409o0679o  0x80000    50.196168
57409.630689 18.767304      NaN      5.0    36.0   o  0.0     0.90 210.92686 54.31166  7646.91  1108.44 3.81 3.36   5.1 -0.513    18.73 19.78 02a57409o0690o   0x0000    37.611904
57409.635100 19.169763      NaN    -35.0    26.0   o  0.0     1.11 210.92686 54.31166  7338.55  2873.14 3.50 3.41  25.8 -0.459    18.75 19.82 02a57409o0697o   0x0000    28.189632
57414.610678 18.534680      NaN     20.0    40.0   o  0.0     0.67 210.92686 54.31166  8117.60  1932.14 3.86 3.44  11.9 -0.493    18.77 19.88 02a57414o0661o   0x0000    41.456668
57414.627553 18.657725      NaN     20.0    35.0   o  0.0     0.77 210.92686 54.31166  8405.21  2511.37 3.68 3.48  24.2 -0.478    18.77 19.88 02a57414o0687o   0x0000    36.655904
57414.645156 19.089302      NaN    -23.0    28.0   o  0.0     1.24 210.92686 54.31166  7272.03  3132.56 3.51 3.40  21.3 -0.458    18.78 19.88 02a57414o0714o   0x0000    30.044223
57414.661382 18.702047      NaN     36.0    28.0   o  0.0     1.28 210.92686 54.31166  7344.64  2884.16 3.55 3.35  18.9 -0.468    18.77 19.85 02a57414o0740o   0x0000    30.044223
57418.601312 19.212347      NaN    -38.0    25.0   o  0.0     0.79 210.92686 54.31166  8286.71  1954.15 3.77 3.48  15.0 -0.480    19.19 20.72 02a57418o0642o   0x0000    27.270044
57418.622559 19.102305      NaN      2.0    27.0   o  0.0     0.77 210.92686 54.31166  8567.03  2530.97 3.76 3.63  38.2 -0.450    19.14 20.72 02a57418o0674o  0x80000    29.114521
57418.640915 19.401649      NaN     -6.0    21.0   o  0.0     1.11 210.92686 54.31166  7451.57  3155.49 3.55 3.48  26.6 -0.437    19.18 20.73 02a57418o0701o  0x80000    23.657035
57418.657638 18.955691      NaN     29.0    22.0   o  0.0     0.86 210.92686 54.31166  7354.76  2890.17 3.90 3.75  19.0 -0.420    19.06 20.63 02a57418o0727o  0x80000    24.549039
57419.602717 19.212347      NaN    -32.0    25.0   o  0.0     0.83 210.92686 54.31166  7981.90  1398.45 4.12 3.58   7.3 -0.478    19.30 21.02 02a57419o0615o  0x80000    27.270044
57419.622718 19.128787      NaN     18.0    21.0   o  0.0     1.15 210.92686 54.31166  8262.98  1981.54 3.84 3.51  16.0 -0.480    19.33 21.02 02a57419o0644o  0x80000    23.657035
57419.638318 19.401649      NaN     -1.0    21.0   o  0.0     1.10 210.92686 54.31166  7139.18  2597.67 3.78 3.54  10.2 -0.446    19.30 21.20 02a57419o0668o   0x0000    23.657035
57419.655984 19.401649      NaN     -7.0    21.0   o  0.0     0.88 210.92686 54.31166  7357.86  2886.63 3.78 3.61  14.4 -0.433    19.30 21.01 02a57419o0695o  0x80000    23.657035
57440.518111 18.273950      NaN     13.0    55.0   o  0.0     1.05 210.92686 54.31166  8362.90  1382.93 4.29 3.46  13.4 -0.540    18.27 18.98 02a57440o0547o  0x80000    56.068309
57440.529939 18.292405      NaN     19.0    52.0   o  0.0     1.13 210.92686 54.31166  8648.92  1960.02 3.98 3.44  21.9 -0.545    18.27 18.97 02a57440o0569o   0x0000    53.128668
57440.551953 18.459772      NaN   -113.0    50.0   o  0.0     0.91 210.92686 54.31166  7517.78  2592.83 3.88 3.45  12.9 -0.499    18.29 19.00 02a57440o0611o   0x0000    51.172799
57440.562821 18.323878      NaN     23.0    49.0   o  0.0     0.76 210.92686 54.31166  7306.18  2873.87 3.77 3.43  11.8 -0.496    18.30 19.02 02a57440o0632o  0x80000    50.196168
57441.518643 18.376212      NaN    -35.0    54.0   o  0.0     1.08 210.92686 54.31166  8144.63  1782.69 3.98 3.40  15.2 -0.534    18.23 18.89 02a57441o0557o   0x0000    55.087706
57441.526896 18.459772      NaN    -28.0    50.0   o  0.0     1.06 210.92686 54.31166  8429.63  2357.36 3.79 3.38  25.0 -0.523    18.25 18.92 02a57441o0573o   0x0000    51.172799
57441.531928 18.152867      NaN     55.0    48.0   o  0.0     0.90 210.92686 54.31166  7305.17  2976.88 3.57 3.39  13.2 -0.491    18.26 18.93 02a57441o0583o   0x0000    49.220477
57441.552276 18.504094      NaN    -74.0    48.0   o  0.0     0.92 210.92686 54.31166  7306.99  2867.78 3.65 3.40  16.0 -0.483    18.27 18.94 02a57441o0622o   0x0000    49.220477
57466.479054 18.606822      NaN      8.0    41.0   o  0.0     1.00 210.92686 54.31166  8218.33  1468.09 4.59 3.60  16.5 -0.540    18.73 19.97 02a57466o0545o  0x80000    42.422345
57466.500550 18.396507      NaN     39.0    40.0   o  0.0     0.80 210.92686 54.31166  8517.11  2042.22 4.14 3.61  26.3 -0.544    18.77 20.03 02a57466o0585o  0x80000    41.456668
57466.521973 19.014394      NaN    -37.0    30.0   o  0.0     1.20 210.92686 54.31166  7402.29  2668.75 3.84 3.39  11.9 -0.514    18.81 20.05 02a57466o0625o   0x0000    31.916380
57466.532670 19.051202      NaN    -37.0    29.0   o  0.0     1.26 210.92686 54.31166  7307.91  2866.64 3.85 3.43  10.1 -0.514    18.82 20.07 02a57466o0647o  0x80000    30.978304
57470.480982 16.084671      NaN    392.0   315.0   o  0.0     1.31 210.92686 54.31166  7297.46  2860.59 3.95 3.64  11.0 -0.489    16.46 16.46 02a57470o0553o 0x400802   315.188286
57474.485989 18.816441      NaN    -35.0    36.0   o  0.0     1.29 210.92686 54.31166  8172.76  1694.68 4.25 3.41  13.6 -0.526    18.71 19.95 02a57474o0492o  0x80000    37.611904
57474.506959 18.878500      NaN      0.0    34.0   o  0.0     0.91 210.92686 54.31166  2174.85  8422.05 4.03 3.43 -65.4 -0.490    18.70 19.95 02a57474o0529o   0x0000    35.702315
57474.528572 18.826541      NaN     20.0    29.0   o  0.0     1.26 210.92686 54.31166  3289.62  7801.08 3.70 3.23 -71.1 -0.491    18.72 19.91 02a57474o0566o  0x80000    30.978304
57474.543901 18.944322      NaN    -16.0    32.0   o  0.0     1.03 210.92686 54.31166  3313.88  7825.88 3.82 3.26 -69.9 -0.508    18.69 19.92 02a57474o0592o   0x0000    33.803185
57492.402356 18.738855      NaN     26.0    30.0   o  0.0     0.98 210.92686 54.31166  8233.15  1755.26 4.08 3.65  24.7 -0.505    19.02 20.45 02a57492o0382o   0x0000    31.916380
57492.415099 19.212347      NaN     -3.0    25.0   o  0.0     0.98 210.92686 54.31166  8518.29  2323.85 3.81 3.54  36.0 -0.502    19.10 20.55 02a57492o0405o  0x80000    27.270044
